time,open,high,low,close,volume
2023-01-03T06:55:00+00:00,62.06,62.06,62.06,62.06,14
2023-01-03T07:00:00+00:00,62.58,62.58,62.08,62.4,854
2023-01-03T07:05:00+00:00,62.44,62.44,61.12,61.96,4672
2023-01-03T07:10:00+00:00,62.08,62.34,62.08,62.26,432
2023-01-03T07:15:00+00:00,62.26,62.58,62.24,62.24,1286
2023-01-03T07:20:00+00:00,62.3,62.42,62.3,62.4,398
2023-01-03T07:25:00+00:00,62.42,62.5,62.4,62.5,2016
2023-01-03T07:30:00+00:00,62.56,62.8,62.46,62.74,750
2023-01-03T07:35:00+00:00,62.74,62.74,62.64,62.64,52
2023-01-03T07:40:00+00:00,62.72,62.72,62.72,62.72,4
2023-01-03T07:45:00+00:00,62.7,62.7,62.6,62.7,74
2023-01-03T07:50:00+00:00,62.68,62.7,62.68,62.7,276
2023-01-03T07:55:00+00:00,62.72,62.72,62.72,62.72,400
2023-01-03T08:00:00+00:00,62.72,62.82,62.7,62.7,1044
2023-01-03T08:05:00+00:00,62.74,62.74,62.74,62.74,22
2023-01-03T08:10:00+00:00,62.8,62.8,62.72,62.8,92
2023-01-03T08:15:00+00:00,62.8,62.9,62.8,62.84,262
2023-01-03T08:20:00+00:00,62.8,62.9,62.8,62.9,426
2023-01-03T08:25:00+00:00,62.9,62.98,62.8,62.8,648
2023-01-03T08:30:00+00:00,62.82,62.92,62.8,62.92,26
2023-01-03T08:35:00+00:00,62.82,62.92,62.8,62.82,262
2023-01-03T08:40:00+00:00,62.82,62.92,62.82,62.92,58
2023-01-03T08:45:00+00:00,62.9,62.92,62.9,62.92,88
2023-01-03T08:50:00+00:00,62.94,62.94,62.94,62.94,20
2023-01-03T08:55:00+00:00,62.94,63.0,62.94,63.0,358
2023-01-03T09:00:00+00:00,63.0,63.9,63.0,63.32,5294
2023-01-03T09:05:00+00:00,63.42,63.88,63.42,63.88,2466
2023-01-03T09:10:00+00:00,63.88,64.32,63.54,63.54,7596
2023-01-03T09:15:00+00:00,63.88,63.98,63.58,63.84,438
2023-01-03T09:20:00+00:00,63.7,64.28,63.66,64.18,1170
2023-01-03T09:25:00+00:00,64.14,64.18,63.68,64.16,2166
2023-01-03T09:30:00+00:00,64.16,64.16,63.76,63.98,196
2023-01-03T09:35:00+00:00,63.9,64.04,63.9,64.04,226
2023-01-03T09:40:00+00:00,64.04,64.04,63.62,63.66,550
2023-01-03T09:45:00+00:00,63.78,63.78,63.6,63.7,132
2023-01-03T09:50:00+00:00,63.7,63.76,63.12,63.28,2850
2023-01-03T09:55:00+00:00,63.12,63.62,63.08,63.62,1766
2023-01-03T10:00:00+00:00,63.7,63.76,63.7,63.74,650
2023-01-03T10:05:00+00:00,63.68,63.68,63.4,63.4,30
2023-01-03T10:10:00+00:00,63.66,63.66,63.3,63.3,134
2023-01-03T10:15:00+00:00,63.3,63.52,63.3,63.52,32
2023-01-03T10:20:00+00:00,63.54,63.54,63.32,63.32,16
2023-01-03T10:25:00+00:00,63.32,63.52,63.32,63.52,42
2023-01-03T10:30:00+00:00,63.5,63.5,63.26,63.26,126
2023-01-03T10:35:00+00:00,63.5,63.5,63.5,63.5,20
2023-01-03T10:40:00+00:00,63.54,63.54,63.5,63.54,12
2023-01-03T10:45:00+00:00,63.5,63.5,63.48,63.48,34
2023-01-03T10:50:00+00:00,63.48,63.48,63.0,63.18,1416
2023-01-03T10:55:00+00:00,63.3,63.36,63.28,63.36,346
2023-01-03T11:00:00+00:00,63.36,63.48,63.36,63.44,650
2023-01-03T11:05:00+00:00,63.34,63.36,63.34,63.36,4
2023-01-03T11:10:00+00:00,63.36,63.36,62.22,62.96,4688
2023-01-03T11:15:00+00:00,62.88,62.88,62.52,62.84,446
2023-01-03T11:20:00+00:00,62.82,62.88,62.82,62.86,122
2023-01-03T11:25:00+00:00,62.88,62.88,62.88,62.88,4
2023-01-03T11:30:00+00:00,62.84,62.88,62.62,62.88,166
2023-01-03T11:35:00+00:00,62.86,62.9,62.68,62.9,276
2023-01-03T11:40:00+00:00,62.92,62.92,62.92,62.92,16
2023-01-03T11:45:00+00:00,62.92,62.92,62.56,62.56,208
2023-01-03T11:50:00+00:00,62.62,62.86,62.6,62.6,188
2023-01-03T11:55:00+00:00,62.78,62.92,62.6,62.92,544
2023-01-03T12:00:00+00:00,62.98,63.14,62.92,63.14,378
2023-01-03T12:05:00+00:00,63.12,63.14,62.92,62.92,146
2023-01-03T12:10:00+00:00,63.12,63.12,63.12,63.12,8
2023-01-03T12:15:00+00:00,62.98,62.98,62.96,62.96,30
2023-01-03T12:20:00+00:00,63.1,63.1,63.1,63.1,6
2023-01-03T12:25:00+00:00,63.1,63.12,63.1,63.12,32
2023-01-03T12:35:00+00:00,63.12,63.62,63.12,63.62,726
2023-01-03T12:40:00+00:00,63.34,63.48,63.34,63.44,84
2023-01-03T12:45:00+00:00,63.4,63.48,63.4,63.48,312
2023-01-03T12:50:00+00:00,63.38,63.38,63.36,63.36,212
2023-01-03T12:55:00+00:00,63.34,63.34,63.08,63.08,660
2023-01-03T13:00:00+00:00,63.28,63.3,63.28,63.3,4
