time,open,high,low,close,volume
2023-01-03T06:55:00+00:00,7.3,7.3,7.3,7.3,10
2023-01-03T07:00:00+00:00,7.3,7.3,7.26,7.26,14
2023-01-03T07:05:00+00:00,7.24,7.3,7.24,7.3,57
2023-01-03T07:10:00+00:00,7.26,7.26,7.26,7.26,8
2023-01-03T07:15:00+00:00,7.3,7.3,7.26,7.26,29
2023-01-03T07:20:00+00:00,7.26,7.3,7.26,7.3,48
2023-01-03T07:25:00+00:00,7.3,7.3,7.26,7.28,36
2023-01-03T07:30:00+00:00,7.28,7.28,7.28,7.28,1
2023-01-03T07:35:00+00:00,7.28,7.28,7.28,7.28,8
2023-01-03T07:40:00+00:00,7.3,7.3,7.3,7.3,7
2023-01-03T07:45:00+00:00,7.28,7.3,7.26,7.3,65
2023-01-03T07:50:00+00:00,7.28,7.28,7.26,7.26,74
2023-01-03T08:00:00+00:00,7.28,7.28,7.28,7.28,2
2023-01-03T08:05:00+00:00,7.26,7.28,7.22,7.28,239
2023-01-03T08:10:00+00:00,7.26,7.26,7.26,7.26,2
2023-01-03T08:20:00+00:00,7.26,7.26,7.24,7.24,5
2023-01-03T08:30:00+00:00,7.26,7.26,7.26,7.26,4
2023-01-03T08:35:00+00:00,7.28,7.28,7.26,7.26,2
2023-01-03T08:40:00+00:00,7.26,7.26,7.26,7.26,7
2023-01-03T08:45:00+00:00,7.28,7.32,7.28,7.32,310
2023-01-03T08:50:00+00:00,7.3,7.3,7.3,7.3,1
2023-01-03T08:55:00+00:00,7.32,7.34,7.32,7.34,28
2023-01-03T09:00:00+00:00,7.3,7.34,7.3,7.32,14
2023-01-03T09:10:00+00:00,7.3,7.3,7.3,7.3,1
2023-01-03T09:25:00+00:00,7.32,7.32,7.3,7.32,93
2023-01-03T09:30:00+00:00,7.32,7.32,7.3,7.3,23
2023-01-03T09:35:00+00:00,7.3,7.3,7.28,7.28,9
2023-01-03T09:45:00+00:00,7.28,7.3,7.28,7.3,395
2023-01-03T09:50:00+00:00,7.28,7.28,7.28,7.28,4
2023-01-03T09:55:00+00:00,7.3,7.3,7.3,7.3,7
2023-01-03T10:10:00+00:00,7.3,7.32,7.3,7.32,6
2023-01-03T10:20:00+00:00,7.3,7.42,7.3,7.36,395
2023-01-03T10:25:00+00:00,7.34,7.36,7.34,7.34,51
2023-01-03T10:30:00+00:00,7.32,7.46,7.32,7.44,858
2023-01-03T10:35:00+00:00,7.42,7.44,7.3,7.34,485
2023-01-03T10:40:00+00:00,7.34,7.4,7.34,7.36,444
2023-01-03T10:45:00+00:00,7.34,7.34,7.34,7.34,52
2023-01-03T10:50:00+00:00,7.34,7.34,7.3,7.32,115
2023-01-03T10:55:00+00:00,7.34,7.34,7.34,7.34,71
2023-01-03T11:00:00+00:00,7.36,7.36,7.34,7.34,178
2023-01-03T11:05:00+00:00,7.34,7.34,7.34,7.34,51
2023-01-03T11:10:00+00:00,7.34,7.34,7.28,7.28,189
2023-01-03T11:15:00+00:00,7.32,7.34,7.32,7.34,10
2023-01-03T11:20:00+00:00,7.32,7.32,7.32,7.32,1
2023-01-03T11:25:00+00:00,7.32,7.34,7.3,7.34,88
2023-01-03T11:30:00+00:00,7.3,7.3,7.3,7.3,155
2023-01-03T11:40:00+00:00,7.3,7.3,7.28,7.3,244
2023-01-03T11:45:00+00:00,7.28,7.3,7.28,7.3,11
2023-01-03T11:50:00+00:00,7.28,7.28,7.28,7.28,3
2023-01-03T11:55:00+00:00,7.3,7.3,7.3,7.3,46
2023-01-03T12:00:00+00:00,7.3,7.3,7.3,7.3,74
2023-01-03T12:05:00+00:00,7.32,7.32,7.32,7.32,2
2023-01-03T12:15:00+00:00,7.32,7.32,7.28,7.28,106
2023-01-03T12:20:00+00:00,7.38,7.6,7.32,7.52,2185
2023-01-03T12:25:00+00:00,7.52,7.76,7.38,7.62,4126
2023-01-03T12:30:00+00:00,7.56,7.64,7.42,7.42,1611
2023-01-03T12:35:00+00:00,7.48,7.54,7.46,7.5,512
2023-01-03T12:40:00+00:00,7.48,7.52,7.44,7.5,365
2023-01-03T12:45:00+00:00,7.5,7.54,7.48,7.52,493
2023-01-03T12:50:00+00:00,7.54,7.54,7.32,7.42,1718
2023-01-03T12:55:00+00:00,7.42,7.46,7.38,7.44,366
2023-01-03T13:00:00+00:00,7.44,7.44,7.34,7.38,492
2023-01-03T13:05:00+00:00,7.4,7.4,7.36,7.38,41
2023-01-03T13:10:00+00:00,7.38,7.4,7.38,7.4,42
2023-01-03T13:15:00+00:00,7.4,7.4,7.3,7.34,623
2023-01-03T13:20:00+00:00,7.34,7.36,7.32,7.34,66
2023-01-03T13:25:00+00:00,7.36,7.36,7.34,7.36,32
2023-01-03T13:30:00+00:00,7.36,7.38,7.34,7.38,222
2023-01-03T13:35:00+00:00,7.38,7.42,7.36,7.4,228
2023-01-03T13:40:00+00:00,7.4,7.42,7.4,7.4,32
2023-01-03T13:45:00+00:00,7.42,7.42,7.36,7.4,215
2023-01-03T13:50:00+00:00,7.4,7.4,7.4,7.4,2
2023-01-03T13:55:00+00:00,7.4,7.42,7.4,7.4,187
2023-01-03T14:00:00+00:00,7.4,7.4,7.34,7.36,162
2023-01-03T14:05:00+00:00,7.32,7.36,7.3,7.32,393
2023-01-03T14:10:00+00:00,7.36,7.36,7.34,7.34,9
2023-01-03T14:15:00+00:00,7.34,7.34,7.34,7.34,10
2023-01-03T14:20:00+00:00,7.36,7.36,7.34,7.34,64
2023-01-03T14:25:00+00:00,7.36,7.36,7.36,7.36,5
2023-01-03T14:30:00+00:00,7.36,7.38,7.36,7.38,43
2023-01-03T14:35:00+00:00,7.36,7.36,7.36,7.36,146
2023-01-03T14:40:00+00:00,7.38,7.38,7.34,7.36,17
