time,open,high,low,close,volume
2023-01-03T06:55:00+00:00,10.06,10.06,10.06,10.06,2
2023-01-03T07:00:00+00:00,9.98,9.98,9.9,9.92,122
2023-01-03T07:05:00+00:00,9.92,9.96,9.92,9.96,26
2023-01-03T07:10:00+00:00,10.0,10.0,10.0,10.0,4
2023-01-03T07:15:00+00:00,9.98,10.04,9.96,10.04,79
2023-01-03T07:20:00+00:00,10.04,10.04,9.92,9.94,107
2023-01-03T07:25:00+00:00,9.96,9.96,9.96,9.96,10
2023-01-03T07:30:00+00:00,9.94,10.0,9.94,10.0,18
2023-01-03T07:35:00+00:00,10.02,10.02,10.0,10.0,5
2023-01-03T07:45:00+00:00,9.98,9.98,9.96,9.96,6
2023-01-03T07:55:00+00:00,9.98,9.98,9.94,9.94,13
2023-01-03T08:00:00+00:00,9.94,9.94,9.92,9.92,18
2023-01-03T08:05:00+00:00,9.98,9.98,9.96,9.96,24
2023-01-03T08:10:00+00:00,9.96,9.98,9.96,9.98,14
2023-01-03T08:15:00+00:00,9.98,9.98,9.98,9.98,16
2023-01-03T08:20:00+00:00,10.0,10.0,10.0,10.0,2
2023-01-03T08:25:00+00:00,10.02,10.02,9.98,9.98,3
2023-01-03T08:30:00+00:00,10.0,10.02,9.98,9.98,14
2023-01-03T08:40:00+00:00,10.0,10.0,10.0,10.0,1
2023-01-03T08:45:00+00:00,9.98,9.98,9.98,9.98,1
2023-01-03T08:50:00+00:00,9.98,9.98,9.98,9.98,1
2023-01-03T08:55:00+00:00,10.0,10.0,10.0,10.0,1
2023-01-03T09:00:00+00:00,9.98,9.98,9.98,9.98,1
2023-01-03T09:10:00+00:00,10.0,10.0,10.0,10.0,18
2023-01-03T09:15:00+00:00,10.0,10.0,10.0,10.0,1
2023-01-03T09:20:00+00:00,10.0,10.0,9.98,9.98,28
2023-01-03T09:25:00+00:00,9.98,9.98,9.98,9.98,1
2023-01-03T09:35:00+00:00,9.98,9.98,9.98,9.98,1
2023-01-03T09:45:00+00:00,9.98,9.98,9.98,9.98,5
2023-01-03T09:50:00+00:00,9.98,9.98,9.98,9.98,11
2023-01-03T10:00:00+00:00,9.98,9.98,9.98,9.98,1
