time,open,high,low,close,volume
2023-01-03T07:00:00+00:00,0.944,0.949,0.94,0.946,407
2023-01-03T07:05:00+00:00,0.943,0.949,0.94,0.949,306
2023-01-03T07:10:00+00:00,0.944,0.947,0.942,0.942,56
2023-01-03T07:15:00+00:00,0.946,0.947,0.946,0.947,7
2023-01-03T07:20:00+00:00,0.947,0.947,0.947,0.947,9
2023-01-03T07:25:00+00:00,0.945,0.945,0.945,0.945,1
2023-01-03T07:40:00+00:00,0.944,0.945,0.944,0.945,38
2023-01-03T07:55:00+00:00,0.945,0.945,0.945,0.945,6
2023-01-03T08:00:00+00:00,0.945,0.946,0.943,0.943,6
2023-01-03T08:05:00+00:00,0.943,0.943,0.943,0.943,30
2023-01-03T08:10:00+00:00,0.942,0.945,0.941,0.945,36
2023-01-03T08:15:00+00:00,0.944,0.946,0.944,0.946,79
2023-01-03T08:20:00+00:00,0.946,0.952,0.946,0.951,181
2023-01-03T08:25:00+00:00,0.95,0.951,0.947,0.947,35
2023-01-03T08:30:00+00:00,0.95,0.979,0.947,0.975,725
2023-01-03T08:35:00+00:00,0.975,0.983,0.962,0.974,2027
2023-01-03T08:40:00+00:00,0.974,0.974,0.965,0.969,264
2023-01-03T08:45:00+00:00,0.965,0.965,0.954,0.955,364
2023-01-03T08:50:00+00:00,0.956,0.963,0.956,0.963,82
2023-01-03T08:55:00+00:00,0.961,0.961,0.955,0.955,189
2023-01-03T09:00:00+00:00,0.955,0.955,0.954,0.954,42
2023-01-03T09:05:00+00:00,0.957,0.958,0.956,0.957,35
2023-01-03T09:10:00+00:00,0.957,0.958,0.957,0.957,10
2023-01-03T09:15:00+00:00,0.956,0.956,0.956,0.956,8
2023-01-03T09:20:00+00:00,0.956,0.956,0.953,0.953,8
2023-01-03T09:25:00+00:00,0.954,0.954,0.953,0.954,11
2023-01-03T09:30:00+00:00,0.952,0.952,0.952,0.952,1
2023-01-03T09:35:00+00:00,0.953,0.955,0.953,0.955,3
2023-01-03T09:45:00+00:00,0.953,0.955,0.952,0.955,323
2023-01-03T09:50:00+00:00,0.956,0.964,0.956,0.959,119
2023-01-03T09:55:00+00:00,0.961,0.961,0.96,0.961,24
2023-01-03T10:05:00+00:00,0.961,0.961,0.961,0.961,1
2023-01-03T10:15:00+00:00,0.96,0.962,0.96,0.962,18
2023-01-03T10:20:00+00:00,0.96,0.96,0.96,0.96,2
2023-01-03T10:25:00+00:00,0.962,0.962,0.962,0.962,21
2023-01-03T10:30:00+00:00,0.962,0.962,0.96,0.96,106
2023-01-03T10:50:00+00:00,0.959,0.959,0.954,0.956,104
2023-01-03T11:00:00+00:00,0.952,0.953,0.952,0.952,4
2023-01-03T11:10:00+00:00,0.952,0.952,0.948,0.948,258
2023-01-03T11:15:00+00:00,0.95,0.953,0.948,0.952,26
2023-01-03T11:25:00+00:00,0.952,0.952,0.952,0.952,17
2023-01-03T11:30:00+00:00,0.95,0.95,0.95,0.95,3
2023-01-03T11:50:00+00:00,0.951,0.951,0.95,0.95,8
2023-01-03T11:55:00+00:00,0.954,0.954,0.954,0.954,2
2023-01-03T12:05:00+00:00,0.951,0.954,0.949,0.954,36
2023-01-03T12:30:00+00:00,0.953,0.953,0.953,0.953,5
2023-01-03T12:35:00+00:00,0.951,0.951,0.95,0.95,5
2023-01-03T12:40:00+00:00,0.954,0.954,0.954,0.954,13
2023-01-03T12:45:00+00:00,0.952,0.952,0.945,0.948,164
2023-01-03T12:50:00+00:00,0.952,0.952,0.948,0.948,41
2023-01-03T12:55:00+00:00,0.952,0.954,0.949,0.949,21
2023-01-03T13:10:00+00:00,0.953,0.953,0.949,0.949,2
2023-01-03T13:15:00+00:00,0.953,0.953,0.952,0.952,3
2023-01-03T13:25:00+00:00,0.952,0.954,0.952,0.954,6
2023-01-03T13:30:00+00:00,0.951,0.954,0.951,0.954,3
2023-01-03T13:50:00+00:00,0.952,0.954,0.952,0.954,7
2023-01-03T13:55:00+00:00,0.95,0.95,0.95,0.95,1
2023-01-03T14:15:00+00:00,0.955,0.959,0.955,0.959,106
2023-01-03T14:20:00+00:00,0.96,0.96,0.952,0.952,35
2023-01-03T14:30:00+00:00,0.954,0.954,0.95,0.95,50
2023-01-03T14:40:00+00:00,0.953,0.955,0.951,0.955,194
2023-01-03T14:45:00+00:00,0.956,0.956,0.956,0.956,1
2023-01-03T15:05:00+00:00,0.955,0.955,0.955,0.955,3
2023-01-03T15:10:00+00:00,0.955,0.957,0.955,0.957,7
2023-01-03T15:15:00+00:00,0.955,0.955,0.953,0.953,4
2023-01-03T15:30:00+00:00,0.959,0.959,0.959,0.959,11
2023-01-03T15:35:00+00:00,0.958,0.958,0.958,0.958,7
2023-01-03T15:45:00+00:00,0.958,0.958,0.958,0.958,2
2023-01-04T07:00:00+00:00,0.965,0.965,0.957,0.961,81
2023-01-04T07:05:00+00:00,0.96,0.961,0.96,0.961,5
2023-01-04T07:10:00+00:00,0.96,0.961,0.96,0.961,40
2023-01-04T07:15:00+00:00,0.96,0.961,0.96,0.96,164
2023-01-04T07:20:00+00:00,0.958,0.958,0.955,0.955,428
