time,open,high,low,close,volume
2023-01-03T06:55:00+00:00,46.4,46.4,46.4,46.4,163
2023-01-03T07:00:00+00:00,46.4,46.42,46.12,46.42,4676
2023-01-03T07:05:00+00:00,46.52,46.9,46.44,46.5,1262
2023-01-03T07:10:00+00:00,46.62,46.72,46.44,46.72,2540
2023-01-03T07:15:00+00:00,46.7,46.72,46.62,46.7,218
2023-01-03T07:20:00+00:00,46.7,46.7,46.48,46.7,4982
2023-01-03T07:25:00+00:00,46.62,46.66,46.52,46.58,289
2023-01-03T07:30:00+00:00,46.52,46.6,46.52,46.52,405
2023-01-03T07:35:00+00:00,46.54,46.54,46.5,46.54,400
2023-01-03T07:40:00+00:00,46.54,46.54,46.52,46.54,1352
2023-01-03T07:45:00+00:00,46.54,46.54,46.52,46.54,435
2023-01-03T07:50:00+00:00,46.54,46.54,46.52,46.52,413
2023-01-03T07:55:00+00:00,46.54,46.54,46.52,46.54,367
2023-01-03T08:00:00+00:00,46.54,46.54,46.52,46.54,4503
2023-01-03T08:05:00+00:00,46.54,46.54,46.52,46.54,1181
2023-01-03T08:10:00+00:00,46.54,46.6,46.52,46.6,2052
2023-01-03T08:15:00+00:00,46.6,46.6,46.54,46.58,160
2023-01-03T08:20:00+00:00,46.58,46.7,46.58,46.64,939
2023-01-03T08:25:00+00:00,46.64,46.72,46.6,46.66,1430
2023-01-03T08:30:00+00:00,46.66,46.68,46.54,46.66,4180
2023-01-03T08:35:00+00:00,46.66,46.68,46.58,46.68,202
2023-01-03T08:40:00+00:00,46.68,46.68,46.56,46.6,1679
2023-01-03T08:45:00+00:00,46.64,46.66,46.18,46.5,13760
2023-01-03T08:50:00+00:00,46.5,46.52,46.26,46.46,1904
2023-01-03T08:55:00+00:00,46.4,46.46,46.34,46.38,271
2023-01-03T09:00:00+00:00,46.36,46.48,46.26,46.4,612
2023-01-03T09:05:00+00:00,46.4,46.46,46.3,46.4,2325
2023-01-03T09:10:00+00:00,46.4,46.48,46.26,46.42,1188
2023-01-03T09:15:00+00:00,46.48,46.48,46.42,46.46,411
2023-01-03T09:20:00+00:00,46.46,46.58,46.42,46.58,1639
2023-01-03T09:25:00+00:00,46.56,46.58,46.42,46.56,819
2023-01-03T09:30:00+00:00,46.56,46.58,46.4,46.5,1000
2023-01-03T09:35:00+00:00,46.54,46.54,46.44,46.48,252
2023-01-03T09:40:00+00:00,46.48,46.56,46.46,46.56,6269
2023-01-03T09:45:00+00:00,46.56,46.58,46.46,46.56,2330
2023-01-03T09:50:00+00:00,46.56,46.58,46.5,46.56,1261
2023-01-03T09:55:00+00:00,46.56,46.58,46.52,46.58,216
2023-01-03T10:00:00+00:00,46.58,46.72,46.52,46.7,16398
2023-01-03T10:05:00+00:00,46.68,46.72,46.62,46.72,3711
2023-01-03T10:10:00+00:00,46.7,46.72,46.66,46.7,1846
2023-01-03T10:15:00+00:00,46.7,46.72,46.66,46.7,302
2023-01-03T10:20:00+00:00,46.7,46.7,46.66,46.68,952
2023-01-03T10:25:00+00:00,46.7,46.7,46.6,46.7,2342
2023-01-03T10:30:00+00:00,46.68,46.72,46.68,46.72,3080
2023-01-03T10:35:00+00:00,46.72,46.72,46.7,46.72,299
2023-01-03T10:40:00+00:00,46.72,46.8,46.7,46.78,5597
2023-01-03T10:45:00+00:00,46.8,46.84,46.74,46.84,4992
2023-01-03T10:50:00+00:00,46.8,46.84,46.76,46.8,268
2023-01-03T10:55:00+00:00,46.8,46.82,46.8,46.82,948
2023-01-03T11:00:00+00:00,46.82,46.92,46.8,46.92,2881
2023-01-03T11:05:00+00:00,46.9,46.9,46.82,46.9,266
2023-01-03T11:10:00+00:00,46.9,46.9,46.88,46.9,618
2023-01-03T11:15:00+00:00,46.88,46.88,46.82,46.86,160
2023-01-03T11:20:00+00:00,46.84,46.9,46.8,46.88,1735
2023-01-03T11:25:00+00:00,46.86,46.88,46.82,46.84,90
2023-01-03T11:30:00+00:00,46.82,46.88,46.82,46.84,149
2023-01-03T11:35:00+00:00,46.84,46.84,46.84,46.84,141
2023-01-03T11:40:00+00:00,46.84,46.84,46.82,46.84,174
2023-01-03T11:45:00+00:00,46.82,46.82,46.78,46.82,558
2023-01-03T11:50:00+00:00,46.82,46.84,46.74,46.76,691
2023-01-03T11:55:00+00:00,46.82,46.84,46.76,46.84,2297
2023-01-03T12:00:00+00:00,46.78,46.84,46.74,46.82,515
2023-01-03T12:05:00+00:00,46.82,46.84,46.8,46.8,199
2023-01-03T12:10:00+00:00,46.82,47.56,46.8,47.4,32129
2023-01-03T12:15:00+00:00,47.4,47.82,47.38,47.66,35085
2023-01-03T12:20:00+00:00,47.66,47.66,47.42,47.58,3478
2023-01-03T12:25:00+00:00,47.6,47.64,47.2,47.2,14022
2023-01-03T12:30:00+00:00,47.24,47.48,47.24,47.46,1275
2023-01-03T12:35:00+00:00,47.44,47.44,47.36,47.36,359
2023-01-03T12:40:00+00:00,47.4,47.4,47.34,47.36,355
2023-01-03T12:45:00+00:00,47.36,47.44,47.36,47.38,947
2023-01-03T12:50:00+00:00,47.38,47.44,47.36,47.44,2071
2023-01-03T12:55:00+00:00,47.44,47.5,47.4,47.4,572
2023-01-03T13:00:00+00:00,47.4,47.5,47.38,47.48,1724
2023-01-03T13:05:00+00:00,47.48,47.6,47.46,47.56,5115
2023-01-03T13:10:00+00:00,47.56,47.58,47.52,47.58,1492
2023-01-03T13:15:00+00:00,47.6,47.6,47.48,47.56,6116
2023-01-03T13:20:00+00:00,47.5,47.58,47.48,47.58,93
2023-01-03T13:25:00+00:00,47.5,47.6,47.48,47.48,210
2023-01-03T13:30:00+00:00,47.5,47.58,47.48,47.48,2446
2023-01-03T13:35:00+00:00,47.48,47.48,47.46,47.48,603
2023-01-03T13:40:00+00:00,47.48,47.48,47.42,47.44,222
2023-01-03T13:45:00+00:00,47.44,47.44,47.42,47.44,214
2023-01-03T13:50:00+00:00,47.44,47.44,47.4,47.44,3210
2023-01-03T13:55:00+00:00,47.44,47.44,47.38,47.44,174
2023-01-03T14:00:00+00:00,47.44,47.44,47.38,47.38,228
2023-01-03T14:05:00+00:00,47.4,47.4,47.36,47.38,4251
2023-01-03T14:10:00+00:00,47.38,47.4,47.36,47.4,99
2023-01-03T14:15:00+00:00,47.4,47.4,47.24,47.34,3071
2023-01-03T14:20:00+00:00,47.24,47.38,47.24,47.3,217
2023-01-03T14:25:00+00:00,47.38,47.38,47.3,47.38,36
2023-01-03T14:30:00+00:00,47.38,47.4,47.36,47.4,593
2023-01-03T14:35:00+00:00,47.4,47.4,47.32,47.38,923
2023-01-03T14:40:00+00:00,47.38,47.38,47.2,47.2,1208
2023-01-03T14:45:00+00:00,47.22,47.28,47.0,47.06,5190
2023-01-03T14:50:00+00:00,47.04,47.14,46.92,47.0,6733
2023-01-03T14:55:00+00:00,46.92,47.06,46.92,47.06,409
2023-01-03T15:00:00+00:00,47.12,47.12,47.02,47.08,267
2023-01-03T15:05:00+00:00,47.12,47.12,46.96,46.96,2105
2023-01-03T15:10:00+00:00,46.98,47.08,46.94,47.04,2838
2023-01-03T15:15:00+00:00,47.02,47.04,46.96,47.04,129
2023-01-03T15:20:00+00:00,47.04,47.06,47.0,47.06,42
2023-01-03T15:25:00+00:00,47.0,47.0,46.98,46.98,200
2023-01-03T15:30:00+00:00,46.98,47.12,46.98,47.12,1798
2023-01-03T15:35:00+00:00,47.12,47.16,47.0,47.12,124
2023-01-03T15:45:00+00:00,47.1,47.1,47.1,47.1,134
2023-01-04T06:55:00+00:00,47.44,47.44,47.44,47.44,43
2023-01-04T07:00:00+00:00,47.2,47.42,46.66,47.24,6405
