time,open,high,low,close,volume
2023-01-03T06:55:00+00:00,52.5,52.5,52.5,52.5,540
2023-01-03T07:00:00+00:00,52.5,52.5,51.2,51.5,558
2023-01-03T07:05:00+00:00,51.9,52.0,51.5,51.6,194
2023-01-03T07:10:00+00:00,51.6,51.6,51.3,51.4,158
2023-01-03T07:15:00+00:00,51.4,51.6,50.7,51.0,991
2023-01-03T07:20:00+00:00,51.0,52.0,50.7,51.0,815
2023-01-03T07:25:00+00:00,51.2,51.5,51.0,51.5,53
2023-01-03T07:30:00+00:00,51.5,51.5,51.4,51.4,19
2023-01-03T07:35:00+00:00,51.4,51.4,51.1,51.1,93
2023-01-03T07:40:00+00:00,51.1,51.4,51.1,51.1,47
2023-01-03T07:45:00+00:00,51.1,51.3,51.1,51.1,21
2023-01-03T07:50:00+00:00,51.1,51.1,51.1,51.1,50
2023-01-03T07:55:00+00:00,51.1,51.1,50.3,50.3,566
2023-01-03T08:00:00+00:00,50.8,51.3,50.4,51.3,700
2023-01-03T08:05:00+00:00,51.0,51.3,50.6,51.3,95
2023-01-03T08:10:00+00:00,51.2,51.2,50.8,50.9,24
2023-01-03T08:15:00+00:00,51.1,51.1,51.1,51.1,19
2023-01-03T08:20:00+00:00,51.1,51.1,51.0,51.0,8
2023-01-03T08:25:00+00:00,50.9,50.9,50.9,50.9,31
2023-01-03T08:30:00+00:00,50.9,51.0,50.9,51.0,117
2023-01-03T08:35:00+00:00,51.0,51.1,50.9,51.1,36
2023-01-03T08:40:00+00:00,50.9,51.1,50.7,50.7,435
2023-01-03T08:50:00+00:00,50.8,51.0,50.8,51.0,73
2023-01-03T08:55:00+00:00,50.8,50.8,50.4,50.5,946
2023-01-03T09:00:00+00:00,50.5,50.9,50.4,50.9,221
2023-01-03T09:05:00+00:00,50.8,50.8,50.8,50.8,4
2023-01-03T09:10:00+00:00,50.8,50.8,50.6,50.8,132
2023-01-03T09:15:00+00:00,50.8,50.8,50.7,50.8,60
2023-01-03T09:20:00+00:00,50.7,51.5,50.7,51.5,1132
2023-01-03T09:25:00+00:00,51.2,51.8,51.0,51.0,510
2023-01-03T09:30:00+00:00,50.9,51.7,50.8,51.3,880
2023-01-03T09:35:00+00:00,51.3,51.7,51.3,51.6,129
2023-01-03T09:40:00+00:00,51.6,51.6,50.9,50.9,630
2023-01-03T09:45:00+00:00,51.0,51.0,51.0,51.0,42
2023-01-03T09:50:00+00:00,51.2,51.3,51.0,51.3,13
2023-01-03T09:55:00+00:00,51.1,51.2,51.1,51.2,3
2023-01-03T10:00:00+00:00,51.3,51.3,51.1,51.1,26
2023-01-03T10:05:00+00:00,51.1,51.2,51.1,51.2,4
2023-01-03T10:10:00+00:00,51.2,51.2,51.1,51.1,11
2023-01-03T10:15:00+00:00,51.1,51.1,51.1,51.1,30
2023-01-03T10:20:00+00:00,51.1,51.2,51.1,51.2,6
2023-01-03T10:25:00+00:00,51.2,51.3,51.2,51.3,230
2023-01-03T10:30:00+00:00,51.2,51.2,51.1,51.1,88
2023-01-03T10:35:00+00:00,51.1,51.1,51.1,51.1,69
2023-01-03T10:40:00+00:00,51.1,51.3,51.0,51.3,81
2023-01-03T10:45:00+00:00,51.3,51.3,51.3,51.3,7
2023-01-03T10:55:00+00:00,51.2,51.2,51.2,51.2,2
2023-01-03T11:00:00+00:00,51.3,51.4,51.3,51.4,125
2023-01-03T11:05:00+00:00,51.4,51.4,51.2,51.2,5
2023-01-03T11:10:00+00:00,51.3,51.3,51.2,51.2,120
2023-01-03T11:15:00+00:00,51.2,51.2,51.2,51.2,130
2023-01-03T11:20:00+00:00,51.4,51.4,51.4,51.4,13
2023-01-03T11:25:00+00:00,51.2,51.4,51.2,51.4,15
2023-01-03T11:30:00+00:00,51.2,51.4,51.2,51.4,14
2023-01-03T11:35:00+00:00,51.4,51.4,51.4,51.4,26
2023-01-03T11:40:00+00:00,51.2,51.2,51.1,51.1,88
2023-01-03T11:45:00+00:00,51.2,51.5,51.2,51.3,56
2023-01-03T11:50:00+00:00,51.3,51.4,51.2,51.4,53
2023-01-03T11:55:00+00:00,51.4,51.9,51.1,51.4,1368
2023-01-03T12:00:00+00:00,51.5,51.7,51.1,51.2,367
2023-01-03T12:05:00+00:00,51.2,51.3,51.1,51.3,287
2023-01-03T12:10:00+00:00,51.1,51.4,51.1,51.4,197
2023-01-03T12:15:00+00:00,51.4,51.5,51.2,51.5,28
2023-01-03T12:20:00+00:00,51.5,51.5,51.2,51.4,95
2023-01-03T12:25:00+00:00,51.3,51.4,51.2,51.4,35
2023-01-03T12:30:00+00:00,51.2,51.4,51.2,51.2,31
2023-01-03T12:35:00+00:00,51.4,51.4,51.4,51.4,1
2023-01-03T12:45:00+00:00,51.4,51.4,51.2,51.4,41
2023-01-03T12:50:00+00:00,51.4,51.4,51.4,51.4,1
2023-01-03T12:55:00+00:00,51.4,51.4,51.4,51.4,60
2023-01-03T13:00:00+00:00,51.4,51.4,51.4,51.4,4
2023-01-03T13:10:00+00:00,51.4,51.4,51.4,51.4,41
2023-01-03T13:15:00+00:00,51.4,51.4,51.4,51.4,10
2023-01-03T13:25:00+00:00,51.3,51.3,51.2,51.2,20
2023-01-03T13:30:00+00:00,51.2,51.4,51.2,51.4,93
2023-01-03T13:35:00+00:00,51.0,51.3,50.9,51.2,709
2023-01-03T13:40:00+00:00,51.1,51.1,50.9,50.9,34
2023-01-03T13:45:00+00:00,51.0,51.0,50.9,51.0,83
2023-01-03T13:50:00+00:00,51.2,51.2,51.0,51.2,51
2023-01-03T13:55:00+00:00,51.1,51.1,51.1,51.1,1
2023-01-03T14:00:00+00:00,51.1,51.2,50.9,51.2,288
2023-01-03T14:10:00+00:00,51.2,51.2,51.2,51.2,164
2023-01-03T14:15:00+00:00,51.1,51.4,51.1,51.4,26
2023-01-03T14:20:00+00:00,51.1,52.0,50.5,50.9,4725
2023-01-03T14:25:00+00:00,51.1,51.3,51.1,51.3,107
2023-01-03T14:30:00+00:00,51.2,51.8,51.2,51.3,1690
2023-01-03T14:35:00+00:00,51.3,51.8,51.1,51.8,392
2023-01-03T14:40:00+00:00,51.7,51.9,51.6,51.8,934
2023-01-03T14:45:00+00:00,51.8,51.8,51.7,51.7,52
2023-01-03T14:50:00+00:00,51.7,51.7,51.7,51.7,156
2023-01-03T14:55:00+00:00,51.7,51.7,51.6,51.6,155
2023-01-03T15:00:00+00:00,51.6,51.8,51.6,51.6,46
2023-01-03T15:05:00+00:00,51.6,51.6,51.6,51.6,1
2023-01-03T15:10:00+00:00,51.7,51.9,51.6,51.9,598
2023-01-03T15:15:00+00:00,51.7,51.8,51.7,51.8,2
2023-01-03T15:20:00+00:00,51.8,51.8,51.8,51.8,14
2023-01-03T15:25:00+00:00,51.7,51.7,51.7,51.7,29
2023-01-03T15:30:00+00:00,51.7,51.8,51.7,51.8,142
2023-01-03T15:35:00+00:00,51.8,51.8,51.8,51.8,624
2023-01-03T15:45:00+00:00,51.8,51.8,51.8,51.8,13
2023-01-04T06:55:00+00:00,52.9,52.9,52.9,52.9,13
2023-01-04T07:00:00+00:00,52.0,60.0,52.0,58.3,26220
2023-01-04T07:05:00+00:00,58.4,62.2,58.4,61.0,46955
2023-01-04T07:10:00+00:00,61.1,66.8,60.6,65.0,43110
2023-01-04T07:15:00+00:00,65.2,68.7,62.7,66.4,56802
2023-01-04T07:20:00+00:00,66.3,66.8,63.3,63.6,17899
2023-01-04T07:25:00+00:00,63.8,64.7,63.0,64.0,14015
2023-01-04T07:30:00+00:00,63.9,65.3,63.3,64.5,14691
2023-01-04T07:35:00+00:00,64.5,65.6,62.7,62.7,10666
2023-01-04T07:40:00+00:00,62.7,63.0,60.6,62.1,26578
2023-01-04T07:45:00+00:00,62.1,64.0,62.0,62.5,16120
2023-01-04T07:50:00+00:00,62.5,62.7,59.2,60.3,15518
2023-01-04T07:55:00+00:00,60.3,61.3,60.0,60.5,10490
2023-01-04T08:00:00+00:00,60.5,67.0,60.4,64.4,37869
2023-01-04T08:05:00+00:00,64.3,64.3,61.6,62.5,15997
2023-01-04T08:10:00+00:00,62.5,62.6,61.6,62.6,3485
2023-01-04T08:15:00+00:00,62.6,62.6,61.7,61.9,1618
2023-01-04T08:20:00+00:00,61.9,63.2,61.8,62.8,4044
2023-01-04T08:25:00+00:00,62.8,63.5,62.5,62.6,3097
2023-01-04T08:30:00+00:00,62.8,63.0,61.7,61.8,1323
2023-01-04T08:35:00+00:00,61.8,62.5,61.6,62.3,1744
2023-01-04T08:40:00+00:00,62.3,62.3,61.8,62.2,1151
2023-01-04T08:45:00+00:00,61.9,62.8,61.9,62.3,1323
2023-01-04T08:50:00+00:00,62.1,64.5,62.1,63.9,7573
2023-01-04T08:55:00+00:00,64.0,64.4,63.6,63.7,3517
2023-01-04T09:00:00+00:00,63.7,63.7,63.0,63.3,4160
2023-01-04T09:05:00+00:00,63.3,63.5,63.0,63.2,465
2023-01-04T09:10:00+00:00,63.1,63.2,62.7,63.0,958
2023-01-04T09:15:00+00:00,63.0,63.0,62.7,62.9,513
2023-01-04T09:20:00+00:00,62.9,62.9,62.8,62.8,201
2023-01-04T09:25:00+00:00,62.8,62.8,61.8,62.0,2749
2023-01-04T09:30:00+00:00,62.0,62.0,61.3,61.4,2942
2023-01-04T09:35:00+00:00,61.6,62.4,61.4,62.3,3906
2023-01-04T09:40:00+00:00,62.3,62.3,61.5,61.8,1955
2023-01-04T09:45:00+00:00,61.6,61.8,61.6,61.8,173
2023-01-04T09:50:00+00:00,61.7,62.0,61.6,62.0,360
2023-01-04T09:55:00+00:00,62.0,62.0,61.3,61.7,1383
2023-01-04T10:00:00+00:00,61.7,61.7,61.1,61.3,1520
2023-01-04T10:05:00+00:00,61.3,61.4,60.8,61.2,2119
2023-01-04T10:10:00+00:00,61.2,61.4,61.1,61.1,986
2023-01-04T10:15:00+00:00,61.1,62.3,60.9,61.3,4402
2023-01-04T10:20:00+00:00,61.4,61.6,61.3,61.5,577
2023-01-04T10:25:00+00:00,61.6,63.2,61.5,63.1,7331
2023-01-04T10:30:00+00:00,63.1,63.1,61.3,61.8,9885
2023-01-04T10:35:00+00:00,61.8,61.9,61.6,61.8,886
2023-01-04T10:40:00+00:00,61.9,62.3,61.8,61.9,1812
2023-01-04T10:45:00+00:00,61.9,62.1,61.9,61.9,476
2023-01-04T10:50:00+00:00,62.0,62.0,61.6,61.9,956
2023-01-04T10:55:00+00:00,61.9,62.5,61.7,62.4,1084
2023-01-04T11:00:00+00:00,62.4,62.4,61.8,62.0,511
2023-01-04T11:05:00+00:00,62.0,62.1,61.8,62.1,190
2023-01-04T11:10:00+00:00,62.0,62.1,61.6,62.0,916
2023-01-04T11:15:00+00:00,61.9,61.9,61.7,61.9,270
2023-01-04T11:20:00+00:00,61.9,62.0,61.7,61.9,202
2023-01-04T11:25:00+00:00,62.0,62.1,61.9,62.0,306
2023-01-04T11:30:00+00:00,61.9,62.0,61.7,61.7,124
2023-01-04T11:35:00+00:00,61.9,62.7,61.8,62.6,2162
2023-01-04T11:40:00+00:00,62.6,62.7,62.1,62.2,829
2023-01-04T11:45:00+00:00,62.4,62.5,61.9,62.3,472
2023-01-04T11:50:00+00:00,62.3,62.5,62.1,62.4,1125
2023-01-04T11:55:00+00:00,62.4,63.0,62.4,62.5,1711
2023-01-04T12:00:00+00:00,62.6,66.2,62.5,65.3,22375
2023-01-04T12:05:00+00:00,65.1,65.7,64.1,65.3,8702
2023-01-04T12:10:00+00:00,65.3,65.7,64.4,64.5,6127
2023-01-04T12:15:00+00:00,64.5,64.8,63.3,63.5,7541
2023-01-04T12:20:00+00:00,63.5,64.5,63.4,64.5,3359
2023-01-04T12:25:00+00:00,64.5,65.3,64.0,64.8,4992
2023-01-04T12:30:00+00:00,64.8,65.6,64.8,65.5,4280
2023-01-04T12:35:00+00:00,65.5,65.6,64.3,64.6,6449
2023-01-04T12:40:00+00:00,64.8,65.6,64.1,64.9,7691
2023-01-04T12:45:00+00:00,64.9,65.2,64.6,64.9,1573
2023-01-04T12:50:00+00:00,64.7,64.9,63.6,63.9,4595
2023-01-04T12:55:00+00:00,63.9,64.2,63.6,64.0,1955
2023-01-04T13:00:00+00:00,64.0,64.1,63.6,64.1,1791
2023-01-04T13:05:00+00:00,64.1,64.5,63.1,63.5,3525
2023-01-04T13:10:00+00:00,63.4,63.5,62.8,62.8,4596
2023-01-04T13:15:00+00:00,62.8,63.2,62.7,63.2,1184
2023-01-04T13:20:00+00:00,63.2,63.2,62.7,62.8,1550
2023-01-04T13:25:00+00:00,62.8,63.0,62.7,63.0,584
2023-01-04T13:30:00+00:00,63.0,63.3,62.9,63.1,1023
2023-01-04T13:35:00+00:00,63.3,63.3,63.2,63.2,1074
2023-01-04T13:40:00+00:00,63.3,63.5,63.3,63.3,1044
2023-01-04T13:45:00+00:00,63.3,63.3,63.0,63.0,950
2023-01-04T13:50:00+00:00,63.1,63.7,63.1,63.5,1420
2023-01-04T13:55:00+00:00,63.6,64.0,63.4,64.0,2738
2023-01-04T14:00:00+00:00,63.9,64.4,63.9,64.3,3283
2023-01-04T14:05:00+00:00,64.2,65.4,63.7,64.2,8537
2023-01-04T14:10:00+00:00,64.2,65.5,64.2,65.0,4912
2023-01-04T14:15:00+00:00,65.1,65.3,63.6,64.5,5270
2023-01-04T14:20:00+00:00,64.3,64.6,64.2,64.6,995
2023-01-04T14:25:00+00:00,64.6,64.6,64.1,64.1,721
2023-01-04T14:30:00+00:00,64.1,64.1,63.6,64.1,2427
2023-01-04T14:35:00+00:00,64.0,64.3,63.7,64.0,2159
2023-01-04T14:40:00+00:00,64.0,64.0,63.7,64.0,700
2023-01-04T14:45:00+00:00,64.0,64.1,63.9,63.9,612
2023-01-04T14:50:00+00:00,64.0,64.3,63.9,64.3,504
2023-01-04T14:55:00+00:00,64.1,64.3,63.9,64.3,470
2023-01-04T15:00:00+00:00,64.2,64.4,63.9,64.1,886
2023-01-04T15:05:00+00:00,64.2,64.2,63.1,63.4,6097
2023-01-04T15:10:00+00:00,63.3,63.8,63.0,63.7,2642
2023-01-04T15:15:00+00:00,63.7,63.8,63.0,63.3,1156
2023-01-04T15:20:00+00:00,63.3,63.4,63.0,63.0,1489
2023-01-04T15:25:00+00:00,63.1,63.2,62.6,62.6,1796
2023-01-04T15:30:00+00:00,62.7,62.8,62.5,62.8,1577
2023-01-04T15:35:00+00:00,62.8,63.5,62.1,62.3,3035
2023-01-04T15:45:00+00:00,62.1,62.1,62.1,62.1,1266
2023-01-05T06:55:00+00:00,63.0,63.0,63.0,63.0,427
2023-01-05T07:00:00+00:00,62.9,67.0,62.4,65.9,49096
2023-01-05T07:05:00+00:00,65.9,66.0,63.8,64.3,15369
2023-01-05T07:10:00+00:00,64.3,64.5,63.3,64.5,7150
2023-01-05T07:15:00+00:00,64.3,64.7,63.4,63.8,3481
2023-01-05T07:20:00+00:00,63.9,64.0,63.5,63.5,1270
2023-01-05T07:25:00+00:00,63.5,63.6,63.1,63.5,2268
2023-01-05T07:30:00+00:00,63.3,63.5,61.2,61.9,10316
2023-01-05T07:35:00+00:00,61.9,62.1,61.0,62.0,5916
2023-01-05T07:40:00+00:00,61.9,62.5,61.6,62.4,1874
2023-01-05T07:45:00+00:00,62.4,62.4,61.9,62.2,814
2023-01-05T07:50:00+00:00,62.2,62.2,61.7,61.7,1337
2023-01-05T07:55:00+00:00,61.8,61.8,61.5,61.6,739
2023-01-05T08:00:00+00:00,61.6,62.8,61.3,62.5,2326
2023-01-05T08:05:00+00:00,62.6,62.6,61.9,61.9,220
2023-01-05T08:10:00+00:00,62.2,62.2,61.9,62.1,625
2023-01-05T08:15:00+00:00,62.0,62.4,61.8,61.9,1003
2023-01-05T08:20:00+00:00,62.0,62.4,61.8,61.9,704
2023-01-05T08:25:00+00:00,61.9,62.3,61.7,62.3,1140
2023-01-05T08:30:00+00:00,62.4,62.4,61.9,62.0,301
2023-01-05T08:35:00+00:00,62.2,62.2,61.7,61.7,194
2023-01-05T08:40:00+00:00,61.7,61.7,61.4,61.5,1033
2023-01-05T08:45:00+00:00,61.5,61.7,61.3,61.5,861
2023-01-05T08:50:00+00:00,61.4,61.5,61.2,61.2,740
2023-01-05T08:55:00+00:00,61.2,61.6,61.2,61.4,582
2023-01-05T09:00:00+00:00,61.4,61.4,61.3,61.4,402
2023-01-05T09:05:00+00:00,61.3,61.5,61.3,61.5,377
2023-01-05T09:10:00+00:00,61.5,61.9,61.5,61.6,224
2023-01-05T09:15:00+00:00,61.7,61.9,61.6,61.9,121
2023-01-05T09:20:00+00:00,61.9,62.0,61.8,62.0,280
2023-01-05T09:25:00+00:00,62.0,62.0,61.8,61.8,60
2023-01-05T09:30:00+00:00,62.0,62.8,61.6,62.8,1334
2023-01-05T09:35:00+00:00,62.3,62.3,61.8,62.1,578
2023-01-05T09:40:00+00:00,62.1,62.1,61.5,61.5,291
2023-01-05T09:45:00+00:00,61.5,62.7,61.5,62.2,646
2023-01-05T09:50:00+00:00,62.2,62.4,61.6,61.6,185
2023-01-05T09:55:00+00:00,61.6,62.0,61.4,61.7,557
2023-01-05T10:00:00+00:00,61.7,61.7,61.5,61.7,542
2023-01-05T10:05:00+00:00,61.7,61.7,61.5,61.5,110
2023-01-05T10:10:00+00:00,61.5,61.5,61.2,61.3,559
2023-01-05T10:15:00+00:00,61.3,61.7,61.3,61.5,128
2023-01-05T10:20:00+00:00,61.4,61.7,61.2,61.5,739
2023-01-05T10:25:00+00:00,61.4,61.6,61.4,61.6,24
2023-01-05T10:30:00+00:00,61.7,61.7,61.7,61.7,124
2023-01-05T10:35:00+00:00,61.8,62.0,61.7,62.0,859
2023-01-05T10:40:00+00:00,62.0,62.0,61.9,62.0,350
2023-01-05T10:45:00+00:00,62.0,62.0,61.7,61.7,232
2023-01-05T10:50:00+00:00,61.7,62.0,61.7,62.0,94
2023-01-05T10:55:00+00:00,62.0,62.0,61.7,61.7,192
2023-01-05T11:00:00+00:00,61.7,61.8,61.5,61.8,415
2023-01-05T11:05:00+00:00,61.7,61.8,61.5,61.5,668
2023-01-05T11:10:00+00:00,61.5,61.7,61.5,61.5,12
2023-01-05T11:15:00+00:00,61.6,61.7,61.5,61.5,369
2023-01-05T11:20:00+00:00,61.6,61.6,61.5,61.6,50
2023-01-05T11:25:00+00:00,61.6,61.8,61.6,61.8,375
2023-01-05T11:30:00+00:00,61.9,61.9,61.7,61.9,261
2023-01-05T11:35:00+00:00,61.9,61.9,61.7,61.9,96
2023-01-05T11:40:00+00:00,61.7,61.7,61.5,61.5,282
2023-01-05T11:45:00+00:00,61.7,61.7,61.2,61.2,1462
2023-01-05T11:50:00+00:00,61.2,61.2,58.1,60.3,12165
2023-01-05T11:55:00+00:00,60.2,61.2,60.1,61.0,1121
2023-01-05T12:00:00+00:00,61.0,61.0,60.4,60.5,221
2023-01-05T12:05:00+00:00,60.7,60.9,60.2,60.2,746
2023-01-05T12:10:00+00:00,60.3,60.3,58.6,59.5,3771
2023-01-05T12:15:00+00:00,59.5,60.5,58.6,59.6,2403
2023-01-05T12:20:00+00:00,59.6,60.1,59.5,60.1,390
2023-01-05T12:25:00+00:00,60.0,60.0,59.0,59.7,392
2023-01-05T12:30:00+00:00,59.6,59.6,59.2,59.6,329
2023-01-05T12:35:00+00:00,59.6,60.5,59.6,60.1,1065
2023-01-05T12:40:00+00:00,60.0,60.5,60.0,60.2,312
2023-01-05T12:45:00+00:00,60.2,60.2,59.6,59.6,345
2023-01-05T12:50:00+00:00,59.7,60.0,59.7,60.0,131
2023-01-05T12:55:00+00:00,60.0,60.0,59.7,59.9,248
2023-01-05T13:00:00+00:00,59.8,60.0,59.7,59.8,111
2023-01-05T13:05:00+00:00,60.0,60.0,59.8,60.0,304
2023-01-05T13:10:00+00:00,60.0,60.0,59.7,60.0,721
2023-01-05T13:15:00+00:00,59.8,59.9,59.6,59.6,624
2023-01-05T13:20:00+00:00,59.6,59.6,59.2,59.6,285
2023-01-05T13:25:00+00:00,59.4,59.6,59.1,59.2,605
2023-01-05T13:30:00+00:00,59.2,59.5,59.1,59.2,884
2023-01-05T13:35:00+00:00,59.2,59.4,59.2,59.2,357
2023-01-05T13:40:00+00:00,59.3,59.4,59.2,59.3,328
2023-01-05T13:45:00+00:00,59.3,59.3,59.0,59.2,416
2023-01-05T13:50:00+00:00,59.1,59.2,59.0,59.2,418
2023-01-05T13:55:00+00:00,59.2,59.5,59.2,59.4,310
2023-01-05T14:00:00+00:00,59.4,59.9,59.4,59.8,673
2023-01-05T14:05:00+00:00,59.8,60.0,59.7,60.0,308
2023-01-05T14:10:00+00:00,60.0,60.0,59.7,59.8,634
2023-01-05T14:15:00+00:00,59.7,59.7,59.7,59.7,48
2023-01-05T14:20:00+00:00,59.8,59.8,59.6,59.6,47
2023-01-05T14:25:00+00:00,59.6,59.8,59.6,59.8,241
2023-01-05T14:30:00+00:00,59.7,59.7,59.5,59.6,186
2023-01-05T14:35:00+00:00,59.6,59.8,59.6,59.6,794
2023-01-05T14:40:00+00:00,59.6,59.8,59.5,59.5,138
2023-01-05T14:45:00+00:00,59.7,59.7,59.6,59.6,4
2023-01-05T14:50:00+00:00,59.7,60.0,59.7,60.0,162
2023-01-05T14:55:00+00:00,60.0,60.0,59.7,60.0,216
2023-01-05T15:00:00+00:00,60.0,60.0,59.8,59.8,4
2023-01-05T15:05:00+00:00,59.8,60.0,59.8,59.9,113
2023-01-05T15:10:00+00:00,59.9,59.9,59.8,59.9,280
2023-01-05T15:15:00+00:00,59.9,59.9,59.6,59.8,119
2023-01-05T15:20:00+00:00,59.8,60.0,59.5,60.0,588
2023-01-05T15:25:00+00:00,59.8,60.3,59.6,60.3,381
2023-01-05T15:30:00+00:00,60.3,60.8,60.3,60.7,734
2023-01-05T15:35:00+00:00,60.7,60.8,60.5,60.8,841
2023-01-05T15:45:00+00:00,60.8,60.8,60.8,60.8,413
2023-01-06T06:55:00+00:00,61.7,61.7,61.7,61.7,143
2023-01-06T07:00:00+00:00,61.7,61.7,59.1,59.5,1183
2023-01-06T07:05:00+00:00,59.5,59.6,58.6,58.7,956
2023-01-06T07:10:00+00:00,58.7,59.5,58.7,59.4,1173
2023-01-06T07:15:00+00:00,59.5,60.2,59.4,60.0,376
2023-01-06T07:20:00+00:00,60.0,60.5,60.0,60.1,443
2023-01-06T07:25:00+00:00,59.9,60.2,59.4,59.5,291
2023-01-06T07:30:00+00:00,59.6,59.8,59.4,59.5,367
2023-01-06T07:35:00+00:00,59.5,59.5,59.2,59.2,355
2023-01-06T07:40:00+00:00,59.2,59.2,59.0,59.1,413
2023-01-06T07:45:00+00:00,59.1,59.1,59.0,59.1,242
2023-01-06T07:50:00+00:00,59.0,59.1,59.0,59.1,74
2023-01-06T07:55:00+00:00,59.1,59.1,59.0,59.0,177
2023-01-06T08:00:00+00:00,59.0,59.0,58.2,58.5,641
2023-01-06T08:05:00+00:00,58.4,58.6,57.1,57.9,2445
2023-01-06T08:10:00+00:00,57.9,57.9,56.8,57.4,3389
2023-01-06T08:15:00+00:00,57.4,57.6,57.2,57.6,214
2023-01-06T08:20:00+00:00,57.7,57.8,57.0,57.3,771
2023-01-06T08:25:00+00:00,57.3,57.5,57.2,57.5,208
2023-01-06T08:30:00+00:00,57.3,57.5,57.2,57.4,226
2023-01-06T08:35:00+00:00,57.3,57.4,57.2,57.2,289
2023-01-06T08:40:00+00:00,57.2,57.3,57.2,57.3,150
2023-01-06T08:45:00+00:00,57.3,57.5,57.3,57.5,229
2023-01-06T08:50:00+00:00,57.3,57.5,57.3,57.5,186
2023-01-06T08:55:00+00:00,57.5,57.5,55.0,55.7,10060
2023-01-06T09:00:00+00:00,55.8,55.8,55.5,55.7,910
2023-01-06T09:05:00+00:00,55.7,55.7,54.6,55.1,1390
2023-01-06T09:10:00+00:00,55.1,55.8,55.1,55.8,729
2023-01-06T09:15:00+00:00,55.8,55.8,55.3,55.4,191
2023-01-06T09:20:00+00:00,55.4,55.5,55.2,55.2,355
2023-01-06T09:25:00+00:00,55.3,55.6,54.2,55.0,1655
2023-01-06T09:30:00+00:00,55.1,55.4,54.9,55.4,1582
2023-01-06T09:35:00+00:00,55.4,56.3,55.3,56.2,1653
2023-01-06T09:40:00+00:00,56.1,57.4,56.0,56.3,1747
2023-01-06T09:45:00+00:00,56.3,56.4,56.1,56.4,903
2023-01-06T09:50:00+00:00,56.4,56.5,56.0,56.2,445
2023-01-06T09:55:00+00:00,56.3,56.5,56.2,56.5,379
2023-01-06T10:00:00+00:00,56.5,57.9,56.5,57.7,2162
2023-01-06T10:05:00+00:00,57.5,57.6,56.7,56.7,738
2023-01-06T10:10:00+00:00,56.7,57.2,56.7,56.9,246
2023-01-06T10:15:00+00:00,57.2,57.4,57.0,57.0,316
2023-01-06T10:20:00+00:00,57.0,57.3,57.0,57.3,150
2023-01-06T10:25:00+00:00,57.3,57.4,57.1,57.1,194
2023-01-06T10:30:00+00:00,57.3,57.4,57.3,57.4,190
2023-01-06T10:35:00+00:00,57.4,57.6,57.3,57.6,382
2023-01-06T10:40:00+00:00,57.6,57.9,57.6,57.8,1337
2023-01-06T10:45:00+00:00,57.9,57.9,57.4,57.4,395
2023-01-06T10:50:00+00:00,57.6,57.8,57.4,57.8,183
2023-01-06T10:55:00+00:00,57.8,57.8,57.1,57.3,499
2023-01-06T11:00:00+00:00,57.3,57.3,57.0,57.0,104
