time,open,high,low,close,volume
2023-01-03T07:00:00+00:00,38.14,39.08,38.14,39.08,117
2023-01-03T07:05:00+00:00,38.76,38.76,38.56,38.56,73
2023-01-03T07:10:00+00:00,38.58,38.68,38.58,38.64,20
2023-01-03T07:15:00+00:00,38.6,38.7,38.52,38.68,27
2023-01-03T07:20:00+00:00,38.68,38.7,38.68,38.7,3
2023-01-03T07:25:00+00:00,38.7,38.7,38.66,38.68,40
2023-01-03T07:30:00+00:00,38.68,38.98,38.68,38.98,79
2023-01-03T07:35:00+00:00,38.9,38.9,38.7,38.72,22
2023-01-03T07:40:00+00:00,38.88,38.9,38.68,38.68,47
2023-01-03T07:45:00+00:00,38.76,38.76,38.58,38.62,18
2023-01-03T07:50:00+00:00,38.72,38.74,38.72,38.74,3
2023-01-03T07:55:00+00:00,38.64,38.64,38.5,38.62,109
2023-01-03T08:05:00+00:00,38.54,38.6,38.54,38.6,6
2023-01-03T08:10:00+00:00,38.7,38.7,38.7,38.7,1
2023-01-03T08:15:00+00:00,38.6,38.7,38.56,38.7,7
2023-01-03T08:20:00+00:00,38.68,38.78,38.68,38.78,28
2023-01-03T08:25:00+00:00,38.64,38.64,38.62,38.62,5
2023-01-03T08:30:00+00:00,38.78,38.88,38.78,38.88,16
2023-01-03T08:35:00+00:00,38.88,38.88,38.88,38.88,3
2023-01-03T08:40:00+00:00,38.88,38.88,38.86,38.86,8
2023-01-03T08:45:00+00:00,38.8,38.8,38.8,38.8,1
2023-01-03T08:50:00+00:00,38.74,38.78,38.68,38.78,15
2023-01-03T08:55:00+00:00,38.68,38.68,38.68,38.68,4
2023-01-03T09:00:00+00:00,38.68,38.68,38.64,38.68,11
2023-01-03T09:05:00+00:00,38.78,38.78,38.78,38.78,1
2023-01-03T09:10:00+00:00,38.76,38.76,38.72,38.72,10
2023-01-03T09:20:00+00:00,38.78,38.86,38.78,38.86,5
2023-01-03T09:25:00+00:00,38.86,38.88,38.74,38.74,5
2023-01-03T09:30:00+00:00,38.72,38.72,38.72,38.72,27
2023-01-03T09:35:00+00:00,38.7,38.7,38.66,38.66,37
2023-01-03T09:40:00+00:00,38.66,38.66,38.6,38.6,15
2023-01-03T09:45:00+00:00,38.74,38.74,38.74,38.74,2
2023-01-03T10:00:00+00:00,38.7,38.7,38.7,38.7,1
2023-01-03T10:10:00+00:00,38.72,38.74,38.72,38.74,4
2023-01-03T10:15:00+00:00,38.74,38.76,38.74,38.76,3
2023-01-03T10:20:00+00:00,38.78,38.8,38.78,38.8,7
2023-01-03T10:30:00+00:00,38.68,38.68,38.68,38.68,1
2023-01-03T10:35:00+00:00,38.82,38.82,38.82,38.82,1
2023-01-03T10:45:00+00:00,38.82,38.82,38.82,38.82,15
2023-01-03T10:50:00+00:00,38.72,38.72,38.72,38.72,1
2023-01-03T10:55:00+00:00,38.72,38.72,38.72,38.72,1
2023-01-03T11:00:00+00:00,38.78,38.78,38.78,38.78,1
2023-01-03T11:05:00+00:00,38.78,38.78,38.78,38.78,1
2023-01-03T11:15:00+00:00,38.78,38.78,38.78,38.78,3
2023-01-03T11:20:00+00:00,38.74,38.74,38.72,38.72,9
2023-01-03T11:25:00+00:00,38.8,38.82,38.8,38.82,12
2023-01-03T11:30:00+00:00,38.82,38.82,38.82,38.82,1
2023-01-03T11:40:00+00:00,38.72,38.72,38.72,38.72,1
2023-01-03T11:45:00+00:00,38.72,38.72,38.7,38.7,6
2023-01-03T11:50:00+00:00,38.68,38.8,38.68,38.8,8
2023-01-03T11:55:00+00:00,38.7,38.7,38.7,38.7,3
2023-01-03T12:00:00+00:00,38.8,38.8,38.8,38.8,1
2023-01-03T12:05:00+00:00,38.7,38.7,38.62,38.62,36
2023-01-03T12:10:00+00:00,38.72,38.72,38.72,38.72,1
2023-01-03T12:15:00+00:00,38.72,38.72,38.72,38.72,3
2023-01-03T12:25:00+00:00,38.72,38.74,38.72,38.74,3
2023-01-03T12:30:00+00:00,38.74,38.74,38.68,38.68,9
2023-01-03T12:40:00+00:00,38.68,38.68,38.68,38.68,12
2023-01-03T12:45:00+00:00,38.8,38.82,38.7,38.7,16
2023-01-03T12:50:00+00:00,38.82,38.82,38.82,38.82,1
2023-01-03T12:55:00+00:00,38.7,38.7,38.68,38.68,10
2023-01-03T13:00:00+00:00,38.68,38.68,38.68,38.68,1
2023-01-03T13:05:00+00:00,38.7,38.8,38.68,38.68,8
2023-01-03T13:25:00+00:00,38.8,38.8,38.8,38.8,7
2023-01-03T13:30:00+00:00,38.8,38.8,38.8,38.8,8
2023-01-03T13:40:00+00:00,38.7,38.8,38.7,38.8,2
2023-01-03T13:45:00+00:00,38.82,38.82,38.82,38.82,7
2023-01-03T13:50:00+00:00,38.82,38.82,38.8,38.8,2
2023-01-03T13:55:00+00:00,38.8,38.82,38.8,38.82,2
2023-01-03T14:05:00+00:00,38.72,38.72,38.72,38.72,7
2023-01-03T14:10:00+00:00,38.72,38.82,38.72,38.72,11
