time,open,high,low,close,volume
2023-01-03T06:55:00+00:00,9.2,9.2,9.2,9.2,1
2023-01-03T07:05:00+00:00,9.21,9.32,9.21,9.26,126
2023-01-03T07:10:00+00:00,9.25,9.32,9.25,9.26,19
2023-01-03T07:15:00+00:00,9.29,9.34,9.29,9.34,39
2023-01-03T07:20:00+00:00,9.26,9.26,9.26,9.26,1
2023-01-03T07:30:00+00:00,9.28,9.28,9.28,9.28,1
2023-01-03T07:35:00+00:00,9.28,9.28,9.28,9.28,7
2023-01-03T07:40:00+00:00,9.28,9.28,9.28,9.28,127
2023-01-03T07:55:00+00:00,9.29,9.31,9.29,9.31,5
2023-01-03T08:00:00+00:00,9.31,9.32,9.27,9.27,9
2023-01-03T08:05:00+00:00,9.31,9.31,9.27,9.27,3
2023-01-03T08:35:00+00:00,9.28,9.28,9.28,9.28,1
2023-01-03T09:00:00+00:00,9.28,9.28,9.28,9.28,10
2023-01-03T09:40:00+00:00,9.3,9.3,9.3,9.3,2
2023-01-03T10:30:00+00:00,9.29,9.29,9.28,9.28,78
2023-01-03T10:45:00+00:00,9.27,9.27,9.27,9.27,3
2023-01-03T11:00:00+00:00,9.25,9.25,9.25,9.25,63
2023-01-03T11:10:00+00:00,9.24,9.28,9.24,9.28,91
2023-01-03T11:20:00+00:00,9.24,9.24,9.24,9.24,2
2023-01-03T11:30:00+00:00,9.29,9.29,9.29,9.29,2
2023-01-03T12:10:00+00:00,9.26,9.26,9.22,9.22,33
2023-01-03T12:20:00+00:00,9.28,9.28,9.28,9.28,1
2023-01-03T12:45:00+00:00,9.27,9.27,9.27,9.27,11
2023-01-03T13:35:00+00:00,9.24,9.27,9.23,9.27,14
2023-01-03T13:55:00+00:00,9.27,9.27,9.27,9.27,1
2023-01-03T14:20:00+00:00,9.27,9.27,9.27,9.27,4
2023-01-03T14:50:00+00:00,9.28,9.28,9.28,9.28,1
2023-01-03T15:15:00+00:00,9.28,9.28,9.28,9.28,2
2023-01-03T15:35:00+00:00,9.28,9.28,9.28,9.28,10
2023-01-04T06:55:00+00:00,9.32,9.32,9.32,9.32,3
2023-01-04T07:00:00+00:00,9.34,9.4,9.31,9.38,373
2023-01-04T07:05:00+00:00,9.39,9.95,9.39,9.71,6188
2023-01-04T07:10:00+00:00,9.7,10.19,9.63,10.19,4245
2023-01-04T07:15:00+00:00,10.19,10.81,9.86,10.72,17633
2023-01-04T07:20:00+00:00,10.72,11.17,10.52,10.71,11697
2023-01-04T07:25:00+00:00,10.71,10.71,10.28,10.57,7446
2023-01-04T07:30:00+00:00,10.57,10.71,10.39,10.47,8117
2023-01-04T07:35:00+00:00,10.47,10.49,10.38,10.49,1568
2023-01-04T07:40:00+00:00,10.46,10.46,10.23,10.29,2226
2023-01-04T07:45:00+00:00,10.28,10.4,10.22,10.3,936
2023-01-04T07:50:00+00:00,10.28,10.4,10.24,10.27,954
2023-01-04T07:55:00+00:00,10.28,10.36,10.14,10.14,996
2023-01-04T08:00:00+00:00,10.13,10.29,10.07,10.23,1921
2023-01-04T08:05:00+00:00,10.23,10.23,10.1,10.18,882
2023-01-04T08:10:00+00:00,10.2,10.2,10.1,10.11,392
2023-01-04T08:15:00+00:00,10.13,10.38,9.91,10.28,4019
2023-01-04T08:20:00+00:00,10.28,10.55,10.22,10.35,4882
2023-01-04T08:25:00+00:00,10.37,10.41,10.15,10.18,872
2023-01-04T08:30:00+00:00,10.27,10.34,10.18,10.31,414
2023-01-04T08:35:00+00:00,10.3,10.31,10.2,10.25,261
2023-01-04T08:40:00+00:00,10.26,10.26,10.13,10.13,475
2023-01-04T08:45:00+00:00,10.13,10.2,10.13,10.2,86
2023-01-04T08:50:00+00:00,10.2,10.2,10.13,10.14,197
2023-01-04T08:55:00+00:00,10.18,10.24,10.14,10.21,182
2023-01-04T09:00:00+00:00,10.2,10.23,10.2,10.23,120
2023-01-04T09:05:00+00:00,10.23,10.44,10.23,10.38,1528
2023-01-04T09:10:00+00:00,10.38,10.4,10.3,10.4,410
2023-01-04T09:15:00+00:00,10.4,10.4,10.19,10.19,304
2023-01-04T09:20:00+00:00,10.25,10.37,10.24,10.28,235
2023-01-04T09:25:00+00:00,10.33,10.35,10.23,10.28,128
2023-01-04T09:30:00+00:00,10.23,10.44,10.22,10.39,472
2023-01-04T09:35:00+00:00,10.4,10.42,10.33,10.38,114
2023-01-04T09:40:00+00:00,10.33,10.33,10.2,10.28,473
2023-01-04T09:45:00+00:00,10.27,10.28,10.18,10.28,113
2023-01-04T09:50:00+00:00,10.25,10.28,10.25,10.25,83
2023-01-04T09:55:00+00:00,10.28,10.28,10.17,10.17,149
2023-01-04T10:00:00+00:00,10.2,10.2,10.12,10.16,671
2023-01-04T10:05:00+00:00,10.13,10.15,10.11,10.15,213
2023-01-04T10:10:00+00:00,10.14,10.29,10.14,10.26,673
2023-01-04T10:15:00+00:00,10.27,10.37,10.24,10.26,367
2023-01-04T10:20:00+00:00,10.29,10.29,10.26,10.28,100
2023-01-04T10:25:00+00:00,10.26,10.28,10.26,10.26,42
2023-01-04T10:30:00+00:00,10.25,10.26,10.25,10.26,10
2023-01-04T10:35:00+00:00,10.27,10.37,10.27,10.31,183
2023-01-04T10:40:00+00:00,10.3,10.3,10.28,10.3,61
2023-01-04T10:45:00+00:00,10.3,10.3,10.23,10.23,109
2023-01-04T10:50:00+00:00,10.25,10.27,10.25,10.27,3
2023-01-04T10:55:00+00:00,10.27,10.27,10.27,10.27,2
2023-01-04T11:00:00+00:00,10.27,10.27,10.18,10.2,102
2023-01-04T11:05:00+00:00,10.19,10.23,10.14,10.2,158
2023-01-04T11:10:00+00:00,10.2,10.22,10.16,10.21,8
2023-01-04T11:15:00+00:00,10.19,10.2,10.16,10.17,131
2023-01-04T11:20:00+00:00,10.17,10.2,10.17,10.18,59
2023-01-04T11:25:00+00:00,10.18,10.22,10.18,10.22,114
2023-01-04T11:30:00+00:00,10.21,10.24,10.18,10.18,108
2023-01-04T11:35:00+00:00,10.21,10.23,10.19,10.19,29
2023-01-04T11:40:00+00:00,10.2,10.25,10.18,10.25,95
2023-01-04T11:45:00+00:00,10.24,10.24,10.19,10.22,13
2023-01-04T11:50:00+00:00,10.19,10.21,10.19,10.21,44
2023-01-04T11:55:00+00:00,10.2,10.2,10.2,10.2,28
2023-01-04T12:00:00+00:00,10.19,10.19,10.18,10.18,84
2023-01-04T12:05:00+00:00,10.18,10.18,10.11,10.12,108
2023-01-04T12:10:00+00:00,10.12,10.17,10.12,10.17,40
2023-01-04T12:20:00+00:00,10.16,10.17,10.14,10.14,32
2023-01-04T12:25:00+00:00,10.14,10.14,10.14,10.14,10
2023-01-04T12:30:00+00:00,10.14,10.15,10.05,10.05,356
2023-01-04T12:35:00+00:00,10.05,10.08,9.93,9.95,763
2023-01-04T12:40:00+00:00,9.98,10.08,9.97,10.01,139
