time,open,high,low,close,volume
2024-02-22T13:05:00+00:00,9.0,9.0,9.0,9.0,9652
2024-02-22T13:10:00+00:00,9.0,9.0,7.65,8.15,69479
2024-02-22T13:15:00+00:00,8.15,8.25,8.05,8.2,25813
2024-02-22T13:20:00+00:00,8.2,8.3,8.1,8.17,15852
2024-02-22T13:25:00+00:00,8.17,8.27,8.1,8.128,16874
2024-02-22T13:30:00+00:00,8.1,8.12,7.926,7.93,21478
2024-02-22T13:35:00+00:00,7.932,8.062,7.932,8.026,11108
2024-02-22T13:40:00+00:00,8.026,8.2,8.026,8.186,6826
2024-02-22T13:45:00+00:00,8.188,8.19,8.12,8.132,9961
2024-02-22T13:50:00+00:00,8.146,8.2,8.146,8.2,4708
2024-02-22T13:55:00+00:00,8.2,8.33,8.2,8.3,7620
2024-02-22T14:00:00+00:00,8.308,8.322,8.224,8.232,3279
2024-02-22T14:05:00+00:00,8.238,8.316,8.2,8.316,2688
2024-02-22T14:10:00+00:00,8.316,8.32,8.254,8.32,2541
2024-02-22T14:15:00+00:00,8.32,8.584,8.304,8.584,9750
2024-02-22T14:20:00+00:00,8.584,8.66,8.342,8.528,10164
2024-02-22T14:25:00+00:00,8.528,8.55,8.386,8.39,2749
2024-02-22T14:30:00+00:00,8.42,8.45,8.378,8.424,1194
2024-02-22T14:35:00+00:00,8.408,8.41,8.266,8.316,4654
2024-02-22T14:40:00+00:00,8.31,8.344,8.294,8.322,649
2024-02-22T14:45:00+00:00,8.31,8.38,8.302,8.336,1613
2024-02-22T14:50:00+00:00,8.338,8.66,8.31,8.5,8253
2024-02-22T14:55:00+00:00,8.506,8.512,8.45,8.45,1101
2024-02-22T15:00:00+00:00,8.476,8.476,8.352,8.426,2096
2024-02-22T15:05:00+00:00,8.4,8.412,8.356,8.384,636
2024-02-22T15:10:00+00:00,8.392,8.428,8.35,8.35,1055
2024-02-22T15:15:00+00:00,8.348,8.348,8.262,8.262,2569
2024-02-22T15:20:00+00:00,8.264,8.278,8.17,8.172,6257
2024-02-22T15:25:00+00:00,8.176,8.238,8.172,8.176,1708
2024-02-22T15:30:00+00:00,8.19,8.19,8.01,8.064,6931
2024-02-22T15:35:00+00:00,8.064,8.4,8.046,8.19,8052
2024-02-22T15:45:00+00:00,8.1,8.1,8.1,8.1,1000
2024-02-26T06:55:00+00:00,8.2,8.2,8.2,8.2,234
2024-02-26T07:00:00+00:00,8.2,8.35,8.182,8.2,3578
2024-02-26T07:05:00+00:00,8.19,8.196,7.93,7.986,7116
2024-02-26T07:10:00+00:00,7.988,8.064,7.982,8.008,2335
2024-02-26T07:15:00+00:00,8.016,8.04,7.93,7.936,6735
2024-02-26T07:20:00+00:00,7.936,8.03,7.906,8.018,3096
2024-02-26T07:25:00+00:00,8.004,8.014,7.948,7.95,1809
2024-02-26T07:30:00+00:00,7.95,7.95,7.77,7.872,11244
2024-02-26T07:35:00+00:00,7.872,7.89,7.778,7.856,4346
2024-02-26T07:40:00+00:00,7.868,7.904,7.834,7.856,3378
2024-02-26T07:45:00+00:00,7.864,7.894,7.86,7.882,1684
2024-02-26T07:50:00+00:00,7.894,7.918,7.88,7.902,2243
2024-02-26T07:55:00+00:00,7.91,7.96,7.91,7.954,3176
2024-02-26T08:00:00+00:00,7.958,7.996,7.946,7.952,1660
2024-02-26T08:05:00+00:00,7.966,7.968,7.946,7.956,1605
2024-02-26T08:10:00+00:00,7.956,7.966,7.956,7.966,377
2024-02-26T08:15:00+00:00,7.962,7.966,7.93,7.932,2189
2024-02-26T08:20:00+00:00,7.942,7.942,7.862,7.866,3574
2024-02-26T08:25:00+00:00,7.866,7.896,7.866,7.89,1127
2024-02-26T08:30:00+00:00,7.882,7.93,7.882,7.916,3533
2024-02-26T08:35:00+00:00,7.91,7.92,7.872,7.902,1011
2024-02-26T08:40:00+00:00,7.906,7.97,7.888,7.97,4355
2024-02-26T08:45:00+00:00,7.97,7.97,7.882,7.93,875
2024-02-26T08:50:00+00:00,7.94,7.942,7.918,7.918,511
2024-02-26T08:55:00+00:00,7.92,7.928,7.914,7.918,308
2024-02-26T09:00:00+00:00,7.918,7.926,7.916,7.916,266
2024-02-26T09:05:00+00:00,7.926,7.928,7.916,7.924,367
2024-02-26T09:10:00+00:00,7.916,7.926,7.916,7.918,692
2024-02-26T09:15:00+00:00,7.918,7.918,7.916,7.916,502
2024-02-26T09:20:00+00:00,7.918,7.918,7.912,7.912,256
2024-02-26T09:25:00+00:00,7.918,7.918,7.908,7.908,310
2024-02-26T09:30:00+00:00,7.91,7.912,7.908,7.91,343
2024-02-26T09:35:00+00:00,7.908,7.91,7.9,7.902,910
2024-02-26T09:40:00+00:00,7.906,7.912,7.906,7.912,377
2024-02-26T09:45:00+00:00,7.912,7.92,7.902,7.912,699
2024-02-26T09:50:00+00:00,7.918,7.92,7.902,7.912,464
2024-02-26T09:55:00+00:00,7.912,7.912,7.888,7.9,1640
2024-02-26T10:00:00+00:00,7.9,7.912,7.896,7.912,223
2024-02-26T10:05:00+00:00,7.912,7.92,7.912,7.918,1165
2024-02-26T10:10:00+00:00,7.92,7.92,7.902,7.91,894
2024-02-26T10:15:00+00:00,7.91,7.912,7.902,7.912,262
2024-02-26T10:20:00+00:00,7.91,7.916,7.906,7.916,385
2024-02-26T10:25:00+00:00,7.912,7.916,7.912,7.916,144
2024-02-26T10:30:00+00:00,7.916,7.92,7.91,7.916,457
2024-02-26T10:35:00+00:00,7.912,7.916,7.902,7.902,543
2024-02-26T10:40:00+00:00,7.902,7.912,7.888,7.888,802
2024-02-26T10:45:00+00:00,7.888,7.896,7.886,7.896,211
2024-02-26T10:50:00+00:00,7.896,7.898,7.886,7.896,563
2024-02-26T10:55:00+00:00,7.896,7.898,7.846,7.848,2044
2024-02-26T11:00:00+00:00,7.848,7.85,7.8,7.848,3073
2024-02-26T11:05:00+00:00,7.846,7.848,7.782,7.838,3722
2024-02-26T11:10:00+00:00,7.838,7.846,7.752,7.792,3393
2024-02-26T11:15:00+00:00,7.798,7.8,7.778,7.78,407
2024-02-26T11:20:00+00:00,7.78,7.79,7.75,7.772,1775
2024-02-26T11:25:00+00:00,7.76,7.774,7.754,7.754,888
2024-02-26T11:30:00+00:00,7.76,7.76,7.71,7.734,5188
2024-02-26T11:35:00+00:00,7.732,7.732,7.714,7.726,1255
2024-02-26T11:40:00+00:00,7.73,7.75,7.722,7.748,2330
2024-02-26T11:45:00+00:00,7.748,7.748,7.74,7.748,1225
2024-02-26T11:50:00+00:00,7.744,7.748,7.734,7.746,1011
2024-02-26T11:55:00+00:00,7.746,7.748,7.74,7.746,522
2024-02-26T12:00:00+00:00,7.742,7.774,7.74,7.774,1184
2024-02-26T12:05:00+00:00,7.774,7.786,7.774,7.786,768
2024-02-26T12:10:00+00:00,7.786,7.82,7.786,7.81,1692
2024-02-26T12:15:00+00:00,7.81,7.816,7.796,7.796,582
2024-02-26T12:20:00+00:00,7.796,7.802,7.77,7.798,904
2024-02-26T12:25:00+00:00,7.798,7.806,7.79,7.8,355
2024-02-26T12:30:00+00:00,7.806,7.816,7.76,7.76,1223
2024-02-26T12:35:00+00:00,7.762,7.762,7.734,7.758,1738
2024-02-26T12:40:00+00:00,7.758,7.812,7.746,7.8,915
2024-02-26T12:45:00+00:00,7.8,7.848,7.798,7.808,1723
2024-02-26T12:50:00+00:00,7.838,7.92,7.824,7.876,2677
2024-02-26T12:55:00+00:00,7.9,7.9,7.83,7.85,642
2024-02-26T13:00:00+00:00,7.832,7.85,7.714,7.714,4232
2024-02-26T13:05:00+00:00,7.756,7.756,7.722,7.748,259
2024-02-26T13:10:00+00:00,7.748,7.748,7.712,7.736,2741
2024-02-26T13:15:00+00:00,7.74,7.768,7.718,7.734,1198
2024-02-26T13:20:00+00:00,7.744,7.75,7.714,7.736,955
2024-02-26T13:25:00+00:00,7.73,7.744,7.73,7.742,472
2024-02-26T13:30:00+00:00,7.742,7.746,7.738,7.744,411
2024-02-26T13:35:00+00:00,7.744,7.746,7.738,7.74,430
2024-02-26T13:40:00+00:00,7.744,7.744,7.716,7.732,1115
2024-02-26T13:45:00+00:00,7.73,7.736,7.728,7.734,547
2024-02-26T13:50:00+00:00,7.736,7.736,7.728,7.734,786
2024-02-26T13:55:00+00:00,7.734,7.736,7.73,7.732,700
2024-02-26T14:00:00+00:00,7.732,7.732,7.726,7.728,446
2024-02-26T14:05:00+00:00,7.726,7.726,7.718,7.72,1058
2024-02-26T14:10:00+00:00,7.718,7.726,7.7,7.71,3639
2024-02-26T14:15:00+00:00,7.71,7.71,7.68,7.694,4571
2024-02-26T14:20:00+00:00,7.694,7.696,7.666,7.692,1583
2024-02-26T14:25:00+00:00,7.686,7.706,7.666,7.704,652
2024-02-26T14:30:00+00:00,7.706,7.708,7.704,7.708,210
2024-02-26T14:35:00+00:00,7.71,7.748,7.708,7.74,1832
2024-02-26T14:40:00+00:00,7.74,7.748,7.722,7.724,307
2024-02-26T14:45:00+00:00,7.722,7.74,7.722,7.74,229
2024-02-26T14:50:00+00:00,7.74,7.74,7.69,7.7,1910
2024-02-26T14:55:00+00:00,7.7,7.736,7.7,7.718,1264
2024-02-26T15:00:00+00:00,7.72,7.72,7.704,7.718,127
2024-02-26T15:05:00+00:00,7.72,7.72,7.714,7.72,270
2024-02-26T15:10:00+00:00,7.72,7.728,7.72,7.726,213
2024-02-26T15:15:00+00:00,7.72,7.728,7.72,7.728,228
2024-02-26T15:20:00+00:00,7.726,7.736,7.72,7.726,573
2024-02-26T15:25:00+00:00,7.728,7.73,7.726,7.728,223
2024-02-26T15:30:00+00:00,7.728,7.73,7.66,7.7,2754
2024-02-26T15:35:00+00:00,7.7,7.742,7.65,7.684,3094
2024-02-26T15:45:00+00:00,7.684,7.684,7.684,7.684,625
2024-02-27T06:55:00+00:00,7.68,7.68,7.68,7.68,374
2024-02-27T07:00:00+00:00,7.68,7.714,7.5,7.57,13320
2024-02-27T07:05:00+00:00,7.57,7.7,7.48,7.668,5475
2024-02-27T07:10:00+00:00,7.674,7.678,7.55,7.618,2399
2024-02-27T07:15:00+00:00,7.592,7.63,7.58,7.62,1463
2024-02-27T07:20:00+00:00,7.628,7.666,7.62,7.65,2833
2024-02-27T07:25:00+00:00,7.646,7.646,7.518,7.544,5665
2024-02-27T07:30:00+00:00,7.544,7.65,7.544,7.64,2221
2024-02-27T07:35:00+00:00,7.64,7.64,7.592,7.592,1204
2024-02-27T07:40:00+00:00,7.6,7.6,7.52,7.522,2004
2024-02-27T07:45:00+00:00,7.54,7.558,7.52,7.526,1661
2024-02-27T07:50:00+00:00,7.538,7.542,7.474,7.5,5167
2024-02-27T07:55:00+00:00,7.498,7.498,7.436,7.442,4841
2024-02-27T08:00:00+00:00,7.442,7.5,7.414,7.476,4291
2024-02-27T08:05:00+00:00,7.48,7.496,7.45,7.48,1887
2024-02-27T08:10:00+00:00,7.48,7.53,7.48,7.524,3707
2024-02-27T08:15:00+00:00,7.528,7.528,7.466,7.484,2312
2024-02-27T08:20:00+00:00,7.482,7.484,7.44,7.464,1792
2024-02-27T08:25:00+00:00,7.46,7.464,7.44,7.454,1462
2024-02-27T08:30:00+00:00,7.444,7.466,7.444,7.446,628
2024-02-27T08:35:00+00:00,7.446,7.482,7.432,7.478,1776
2024-02-27T08:40:00+00:00,7.478,7.482,7.426,7.456,1015
2024-02-27T08:45:00+00:00,7.446,7.484,7.444,7.48,1365
2024-02-27T08:50:00+00:00,7.478,7.478,7.456,7.46,596
2024-02-27T08:55:00+00:00,7.46,7.48,7.46,7.466,1008
2024-02-27T09:00:00+00:00,7.464,7.464,7.402,7.434,6076
2024-02-27T09:05:00+00:00,7.432,7.434,7.422,7.43,349
2024-02-27T09:10:00+00:00,7.426,7.434,7.42,7.43,321
2024-02-27T09:15:00+00:00,7.422,7.43,7.42,7.428,692
2024-02-27T09:20:00+00:00,7.428,7.428,7.404,7.414,1397
2024-02-27T09:25:00+00:00,7.416,7.428,7.414,7.42,543
2024-02-27T09:30:00+00:00,7.424,7.428,7.418,7.428,311
2024-02-27T09:35:00+00:00,7.428,7.428,7.42,7.428,414
2024-02-27T09:40:00+00:00,7.428,7.428,7.404,7.418,953
2024-02-27T09:45:00+00:00,7.416,7.42,7.36,7.39,6432
2024-02-27T09:50:00+00:00,7.394,7.4,7.364,7.398,2627
2024-02-27T09:55:00+00:00,7.39,7.398,7.376,7.38,294
2024-02-27T10:00:00+00:00,7.39,7.396,7.39,7.396,284
2024-02-27T10:05:00+00:00,7.396,7.396,7.36,7.372,1187
2024-02-27T10:10:00+00:00,7.372,7.378,7.32,7.32,2940
2024-02-27T10:15:00+00:00,7.34,7.386,7.33,7.366,2521
2024-02-27T10:20:00+00:00,7.366,7.386,7.352,7.366,691
2024-02-27T10:25:00+00:00,7.366,7.376,7.352,7.376,652
2024-02-27T10:30:00+00:00,7.37,7.376,7.346,7.358,847
2024-02-27T10:35:00+00:00,7.352,7.358,7.34,7.342,753
2024-02-27T10:40:00+00:00,7.34,7.352,7.304,7.322,2171
2024-02-27T10:45:00+00:00,7.322,7.322,7.258,7.298,4254
2024-02-27T10:50:00+00:00,7.3,7.312,7.29,7.302,3559
2024-02-27T10:55:00+00:00,7.312,7.34,7.272,7.336,2260
2024-02-27T11:00:00+00:00,7.326,7.368,7.316,7.352,3813
2024-02-27T11:05:00+00:00,7.352,7.358,7.32,7.342,1032
2024-02-27T11:10:00+00:00,7.336,7.352,7.336,7.342,559
2024-02-27T11:15:00+00:00,7.352,7.356,7.34,7.34,572
2024-02-27T11:20:00+00:00,7.346,7.348,7.33,7.34,514
2024-02-27T11:25:00+00:00,7.34,7.36,7.32,7.358,1624
2024-02-27T11:30:00+00:00,7.356,7.358,7.35,7.356,160
2024-02-27T11:35:00+00:00,7.356,7.356,7.346,7.35,248
2024-02-27T11:40:00+00:00,7.35,7.354,7.336,7.34,402
2024-02-27T11:45:00+00:00,7.338,7.34,7.302,7.32,1395
2024-02-27T11:50:00+00:00,7.32,7.338,7.312,7.338,474
2024-02-27T11:55:00+00:00,7.332,7.34,7.322,7.332,477
2024-02-27T12:00:00+00:00,7.324,7.356,7.324,7.354,801
2024-02-27T12:05:00+00:00,7.354,7.36,7.354,7.36,583
2024-02-27T12:10:00+00:00,7.36,7.382,7.354,7.382,769
2024-02-27T12:15:00+00:00,7.382,7.39,7.374,7.374,440
2024-02-27T12:20:00+00:00,7.382,7.386,7.35,7.354,924
2024-02-27T12:25:00+00:00,7.354,7.384,7.352,7.384,241
2024-02-27T12:30:00+00:00,7.384,7.392,7.384,7.39,568
2024-02-27T12:35:00+00:00,7.39,7.392,7.382,7.392,529
2024-02-27T12:40:00+00:00,7.39,7.49,7.39,7.49,3799
2024-02-27T12:45:00+00:00,7.49,7.496,7.39,7.42,3019
2024-02-27T12:50:00+00:00,7.42,7.45,7.42,7.436,762
2024-02-27T12:55:00+00:00,7.438,7.438,7.42,7.432,475
