time,open,high,low,close,volume
2023-01-03T07:00:00+00:00,83.0,83.3,83.0,83.3,37
2023-01-03T07:05:00+00:00,83.3,83.3,83.1,83.3,11
2023-01-03T07:10:00+00:00,83.2,83.8,83.2,83.8,330
2023-01-03T07:15:00+00:00,83.8,83.8,83.8,83.8,3
2023-01-03T07:20:00+00:00,83.7,83.8,83.7,83.8,20
2023-01-03T07:25:00+00:00,83.8,83.8,83.8,83.8,51
2023-01-03T07:30:00+00:00,83.8,83.9,83.7,83.9,16
2023-01-03T07:35:00+00:00,83.9,84.0,83.9,83.9,11
2023-01-03T07:40:00+00:00,83.9,83.9,83.8,83.8,16
2023-01-03T07:45:00+00:00,83.8,83.9,83.8,83.9,14
2023-01-03T07:50:00+00:00,84.0,84.0,83.8,84.0,16
2023-01-03T07:55:00+00:00,83.9,83.9,83.8,83.8,2
2023-01-03T08:00:00+00:00,83.9,83.9,83.9,83.9,15
2023-01-03T08:05:00+00:00,83.9,83.9,83.9,83.9,12
2023-01-03T08:10:00+00:00,83.8,83.9,83.8,83.9,18
2023-01-03T08:15:00+00:00,83.9,84.0,83.9,84.0,341
2023-01-03T08:20:00+00:00,84.0,84.0,83.9,83.9,5
2023-01-03T08:25:00+00:00,83.9,84.1,83.9,84.1,4
2023-01-03T08:30:00+00:00,84.1,84.3,83.9,83.9,248
2023-01-03T08:40:00+00:00,84.1,84.2,83.8,83.8,3
2023-01-03T08:45:00+00:00,83.8,84.0,83.8,84.0,31
2023-01-03T08:50:00+00:00,83.8,83.8,83.8,83.8,224
2023-01-03T08:55:00+00:00,83.7,83.8,83.7,83.8,11
2023-01-03T09:00:00+00:00,83.8,83.9,83.7,83.7,62
2023-01-03T09:05:00+00:00,83.8,83.8,83.7,83.7,12
2023-01-03T09:10:00+00:00,83.9,83.9,83.9,83.9,1
2023-01-03T09:20:00+00:00,83.7,83.7,83.7,83.7,3
2023-01-03T09:25:00+00:00,83.9,83.9,83.9,83.9,13
2023-01-03T09:30:00+00:00,83.9,83.9,83.9,83.9,1
2023-01-03T09:35:00+00:00,83.7,83.7,83.7,83.7,1
2023-01-03T09:45:00+00:00,83.9,83.9,83.9,83.9,27
2023-01-03T09:55:00+00:00,84.0,84.0,83.8,84.0,177
2023-01-03T10:00:00+00:00,84.0,84.0,84.0,84.0,1
2023-01-03T10:10:00+00:00,84.0,84.0,84.0,84.0,15
2023-01-03T10:15:00+00:00,84.0,84.0,84.0,84.0,100
2023-01-03T10:20:00+00:00,84.0,84.1,84.0,84.1,120
2023-01-03T10:25:00+00:00,84.1,84.1,84.0,84.0,5
2023-01-03T10:40:00+00:00,84.0,84.0,84.0,84.0,2
2023-01-03T10:45:00+00:00,84.0,84.0,84.0,84.0,32
2023-01-03T10:50:00+00:00,84.1,84.3,84.1,84.3,32
2023-01-03T10:55:00+00:00,84.3,84.3,84.3,84.3,6
2023-01-03T11:00:00+00:00,84.1,85.0,84.1,84.6,1259
2023-01-03T11:05:00+00:00,84.8,85.7,84.7,85.1,727
2023-01-03T11:10:00+00:00,85.0,85.0,84.0,84.1,108
2023-01-03T11:15:00+00:00,84.0,84.5,84.0,84.1,24
2023-01-03T11:25:00+00:00,84.4,84.7,84.4,84.7,14
2023-01-03T11:30:00+00:00,84.4,84.7,84.4,84.7,3
2023-01-03T11:35:00+00:00,84.7,84.7,84.3,84.3,22
2023-01-03T11:40:00+00:00,84.4,84.6,84.1,84.6,50
2023-01-03T11:45:00+00:00,84.5,84.5,84.2,84.2,17
2023-01-03T11:50:00+00:00,84.2,84.2,84.1,84.2,21
2023-01-03T11:55:00+00:00,84.2,84.2,84.2,84.2,7
2023-01-03T12:00:00+00:00,84.1,84.1,84.1,84.1,104
2023-01-03T12:05:00+00:00,84.2,84.2,84.2,84.2,202
2023-01-03T12:10:00+00:00,84.1,84.1,84.1,84.1,8
2023-01-03T12:15:00+00:00,84.2,84.5,84.2,84.4,30
2023-01-03T12:25:00+00:00,84.5,84.6,84.5,84.6,63
2023-01-03T12:30:00+00:00,84.6,84.6,84.6,84.6,3
2023-01-03T12:35:00+00:00,84.6,84.8,84.6,84.8,15
2023-01-03T12:40:00+00:00,84.8,84.8,84.6,84.6,104
2023-01-03T12:45:00+00:00,84.6,84.6,84.6,84.6,10
2023-01-03T12:50:00+00:00,84.4,84.4,84.1,84.1,85
2023-01-03T12:55:00+00:00,84.0,84.2,84.0,84.2,227
2023-01-03T13:00:00+00:00,84.0,84.0,84.0,84.0,12
2023-01-03T13:10:00+00:00,84.3,84.3,84.0,84.1,11
2023-01-03T13:15:00+00:00,84.3,84.4,84.1,84.4,6
2023-01-03T13:20:00+00:00,84.4,84.4,84.4,84.4,2
2023-01-03T13:25:00+00:00,84.4,84.4,84.4,84.4,1
2023-01-03T13:30:00+00:00,84.4,84.4,84.4,84.4,1
2023-01-03T13:45:00+00:00,84.4,84.5,84.1,84.1,29
2023-01-03T14:00:00+00:00,84.3,84.4,84.3,84.4,2
2023-01-03T14:05:00+00:00,84.4,84.4,84.4,84.4,1
2023-01-03T14:10:00+00:00,84.2,84.4,84.2,84.4,4
2023-01-03T14:15:00+00:00,84.4,84.4,84.1,84.1,14
2023-01-03T14:20:00+00:00,84.1,84.1,84.1,84.1,1
2023-01-03T14:35:00+00:00,84.4,84.4,84.4,84.4,2
2023-01-03T14:40:00+00:00,84.4,84.4,84.4,84.4,1
