time,open,high,low,close,volume
2023-01-03T06:55:00+00:00,4.225,4.225,4.225,4.225,27
2023-01-03T07:00:00+00:00,4.22,4.295,4.215,4.265,2063
2023-01-03T07:05:00+00:00,4.285,4.495,4.26,4.365,18553
2023-01-03T07:10:00+00:00,4.365,4.53,4.35,4.44,15156
2023-01-03T07:15:00+00:00,4.435,4.47,4.4,4.42,4656
2023-01-03T07:20:00+00:00,4.425,4.425,4.375,4.385,3247
2023-01-03T07:25:00+00:00,4.38,4.4,4.37,4.385,2412
2023-01-03T07:30:00+00:00,4.385,4.39,4.345,4.39,2857
2023-01-03T07:35:00+00:00,4.385,4.42,4.37,4.415,4513
2023-01-03T07:40:00+00:00,4.415,4.415,4.39,4.395,1060
2023-01-03T07:45:00+00:00,4.405,4.415,4.395,4.4,706
2023-01-03T07:50:00+00:00,4.4,4.41,4.37,4.39,2419
2023-01-03T07:55:00+00:00,4.39,4.405,4.385,4.4,660
2023-01-03T08:00:00+00:00,4.39,4.4,4.39,4.39,138
2023-01-03T08:05:00+00:00,4.39,4.4,4.39,4.395,679
2023-01-03T08:10:00+00:00,4.395,4.4,4.395,4.4,39
2023-01-03T08:15:00+00:00,4.395,4.405,4.39,4.39,1144
2023-01-03T08:20:00+00:00,4.39,4.39,4.36,4.37,1375
2023-01-03T08:25:00+00:00,4.385,4.385,4.37,4.38,736
2023-01-03T08:30:00+00:00,4.38,4.38,4.35,4.35,3118
2023-01-03T08:35:00+00:00,4.35,4.375,4.35,4.37,1055
2023-01-03T08:40:00+00:00,4.37,4.37,4.36,4.365,333
2023-01-03T08:45:00+00:00,4.365,4.37,4.355,4.365,397
2023-01-03T08:50:00+00:00,4.36,4.365,4.355,4.365,267
2023-01-03T08:55:00+00:00,4.355,4.36,4.355,4.36,607
2023-01-03T09:00:00+00:00,4.355,4.38,4.355,4.365,1355
2023-01-03T09:05:00+00:00,4.365,4.385,4.365,4.375,123
2023-01-03T09:10:00+00:00,4.375,4.385,4.37,4.38,283
2023-01-03T09:15:00+00:00,4.37,4.38,4.37,4.37,70
2023-01-03T09:20:00+00:00,4.38,4.385,4.37,4.37,59
2023-01-03T09:25:00+00:00,4.37,4.38,4.355,4.38,1462
2023-01-03T09:30:00+00:00,4.37,4.38,4.37,4.38,267
2023-01-03T09:35:00+00:00,4.37,4.375,4.36,4.365,346
2023-01-03T09:40:00+00:00,4.365,4.37,4.36,4.37,283
2023-01-03T09:45:00+00:00,4.37,4.375,4.37,4.37,122
2023-01-03T09:50:00+00:00,4.37,4.37,4.36,4.37,133
2023-01-03T09:55:00+00:00,4.36,4.365,4.35,4.365,874
2023-01-03T10:00:00+00:00,4.355,4.36,4.355,4.36,131
2023-01-03T10:05:00+00:00,4.36,4.36,4.355,4.36,27
2023-01-03T10:10:00+00:00,4.355,4.36,4.355,4.355,216
2023-01-03T10:15:00+00:00,4.355,4.36,4.35,4.36,409
2023-01-03T10:20:00+00:00,4.36,4.36,4.35,4.36,81
2023-01-03T10:25:00+00:00,4.36,4.36,4.355,4.36,14
2023-01-03T10:30:00+00:00,4.36,4.365,4.355,4.365,1054
2023-01-03T10:35:00+00:00,4.36,4.36,4.355,4.355,320
2023-01-03T10:40:00+00:00,4.355,4.355,4.355,4.355,130
2023-01-03T10:45:00+00:00,4.355,4.355,4.355,4.355,384
2023-01-03T10:50:00+00:00,4.36,4.36,4.36,4.36,30
2023-01-03T10:55:00+00:00,4.36,4.36,4.36,4.36,71
2023-01-03T11:00:00+00:00,4.36,4.365,4.355,4.365,134
2023-01-03T11:05:00+00:00,4.365,4.365,4.355,4.365,441
2023-01-03T11:10:00+00:00,4.36,4.365,4.31,4.33,2981
2023-01-03T11:15:00+00:00,4.33,4.33,4.315,4.33,340
2023-01-03T11:20:00+00:00,4.325,4.325,4.32,4.32,97
2023-01-03T11:25:00+00:00,4.325,4.345,4.32,4.34,404
2023-01-03T11:30:00+00:00,4.34,4.34,4.33,4.33,102
2023-01-03T11:35:00+00:00,4.34,4.34,4.335,4.34,107
2023-01-03T11:40:00+00:00,4.34,4.35,4.34,4.34,330
2023-01-03T11:45:00+00:00,4.34,4.355,4.34,4.355,157
2023-01-03T11:50:00+00:00,4.355,4.355,4.335,4.345,150
2023-01-03T11:55:00+00:00,4.335,4.345,4.335,4.345,102
2023-01-03T12:00:00+00:00,4.345,4.345,4.345,4.345,40
2023-01-03T12:05:00+00:00,4.345,4.37,4.345,4.365,1134
2023-01-03T12:10:00+00:00,4.365,4.365,4.36,4.365,247
2023-01-03T12:15:00+00:00,4.365,4.365,4.355,4.355,316
2023-01-03T12:20:00+00:00,4.35,4.355,4.33,4.35,1375
2023-01-03T12:25:00+00:00,4.35,4.355,4.335,4.335,248
2023-01-03T12:30:00+00:00,4.335,4.335,4.315,4.335,577
2023-01-03T12:35:00+00:00,4.33,4.33,4.32,4.33,461
2023-01-03T12:40:00+00:00,4.32,4.33,4.315,4.315,332
2023-01-03T12:45:00+00:00,4.31,4.325,4.31,4.31,1433
2023-01-03T12:50:00+00:00,4.325,4.325,4.315,4.315,178
2023-01-03T12:55:00+00:00,4.315,4.325,4.315,4.325,46
2023-01-03T13:00:00+00:00,4.325,4.325,4.325,4.325,89
2023-01-03T13:05:00+00:00,4.325,4.335,4.32,4.33,246
2023-01-03T13:10:00+00:00,4.325,4.33,4.325,4.33,106
2023-01-03T13:20:00+00:00,4.33,4.33,4.325,4.325,82
2023-01-03T13:25:00+00:00,4.325,4.33,4.32,4.33,444
2023-01-03T13:30:00+00:00,4.335,4.335,4.33,4.335,210
2023-01-03T13:35:00+00:00,4.33,4.33,4.325,4.325,28
2023-01-03T13:40:00+00:00,4.325,4.325,4.325,4.325,17
2023-01-03T13:45:00+00:00,4.325,4.325,4.315,4.325,157
2023-01-03T13:50:00+00:00,4.315,4.315,4.315,4.315,21
2023-01-03T13:55:00+00:00,4.325,4.33,4.315,4.32,56
2023-01-03T14:00:00+00:00,4.33,4.33,4.32,4.32,12
2023-01-03T14:05:00+00:00,4.33,4.33,4.32,4.33,163
2023-01-03T14:10:00+00:00,4.33,4.33,4.33,4.33,100
2023-01-03T14:15:00+00:00,4.33,4.33,4.32,4.32,31
2023-01-03T14:20:00+00:00,4.325,4.325,4.325,4.325,5
2023-01-03T14:25:00+00:00,4.33,4.33,4.33,4.33,100
2023-01-03T14:30:00+00:00,4.325,4.33,4.325,4.33,30
2023-01-03T14:35:00+00:00,4.33,4.35,4.32,4.35,1202
2023-01-03T14:40:00+00:00,4.35,4.35,4.335,4.35,226
2023-01-03T14:45:00+00:00,4.335,4.335,4.335,4.335,79
2023-01-03T14:50:00+00:00,4.335,4.345,4.33,4.33,92
2023-01-03T14:55:00+00:00,4.34,4.345,4.34,4.345,21
2023-01-03T15:00:00+00:00,4.34,4.345,4.32,4.32,734
2023-01-03T15:05:00+00:00,4.32,4.345,4.31,4.31,1394
2023-01-03T15:10:00+00:00,4.325,4.325,4.305,4.32,2077
2023-01-03T15:15:00+00:00,4.315,4.32,4.315,4.32,151
2023-01-03T15:20:00+00:00,4.33,4.33,4.33,4.33,1
2023-01-03T15:25:00+00:00,4.325,4.375,4.325,4.37,1897
2023-01-03T15:30:00+00:00,4.37,4.375,4.355,4.375,169
2023-01-03T15:35:00+00:00,4.37,4.37,4.325,4.36,1685
2023-01-03T15:45:00+00:00,4.36,4.36,4.36,4.36,254
2023-01-04T06:55:00+00:00,4.44,4.44,4.44,4.44,350
2023-01-04T07:00:00+00:00,4.435,4.435,4.335,4.345,2072
2023-01-04T07:05:00+00:00,4.355,4.355,4.315,4.315,1941
2023-01-04T07:10:00+00:00,4.33,4.34,4.315,4.315,1323
2023-01-04T07:15:00+00:00,4.32,4.33,4.305,4.33,1524
2023-01-04T07:20:00+00:00,4.33,4.335,4.31,4.325,1542
2023-01-04T07:25:00+00:00,4.325,4.36,4.32,4.36,1265
2023-01-04T07:30:00+00:00,4.365,4.365,4.35,4.36,607
2023-01-04T07:35:00+00:00,4.35,4.36,4.335,4.34,379
2023-01-04T07:40:00+00:00,4.35,4.355,4.34,4.35,52
2023-01-04T07:45:00+00:00,4.35,4.35,4.34,4.34,24
2023-01-04T07:50:00+00:00,4.345,4.35,4.34,4.35,121
2023-01-04T07:55:00+00:00,4.34,4.34,4.335,4.335,172
2023-01-04T08:00:00+00:00,4.335,4.345,4.335,4.345,48
2023-01-04T08:05:00+00:00,4.335,4.35,4.33,4.345,453
2023-01-04T08:10:00+00:00,4.35,4.35,4.34,4.35,59
2023-01-04T08:15:00+00:00,4.35,4.35,4.34,4.34,154
