time,open,high,low,close,volume
2023-12-28T13:05:00+00:00,2.3995,2.3995,2.3995,2.3995,9596
2023-12-28T13:10:00+00:00,2.36,2.6,2.3505,2.399,85080
2023-12-28T13:15:00+00:00,2.3975,2.3975,2.3305,2.3775,33457
2023-12-28T13:20:00+00:00,2.37,2.4,2.354,2.3795,10631
2023-12-28T13:25:00+00:00,2.3795,2.498,2.3615,2.43,29075
2023-12-28T13:30:00+00:00,2.434,2.4395,2.3555,2.385,20203
2023-12-28T13:35:00+00:00,2.379,2.392,2.368,2.3755,6219
2023-12-28T13:40:00+00:00,2.375,2.3795,2.3405,2.369,8820
2023-12-28T13:45:00+00:00,2.369,2.3735,2.335,2.34,7130
2023-12-28T13:50:00+00:00,2.3385,2.3455,2.314,2.345,5744
2023-12-28T13:55:00+00:00,2.345,2.346,2.3375,2.346,471
2023-12-28T14:00:00+00:00,2.346,2.3485,2.322,2.3465,3057
2023-12-28T14:05:00+00:00,2.344,2.346,2.315,2.315,2895
2023-12-28T14:10:00+00:00,2.325,2.337,2.314,2.3365,4063
2023-12-28T14:15:00+00:00,2.335,2.355,2.325,2.3405,4904
2023-12-28T14:20:00+00:00,2.335,2.343,2.32,2.334,1250
2023-12-28T14:25:00+00:00,2.3255,2.34,2.3235,2.3335,1397
2023-12-28T14:30:00+00:00,2.335,2.3495,2.328,2.3495,1515
2023-12-28T14:35:00+00:00,2.3495,2.3495,2.329,2.3435,348
2023-12-28T14:40:00+00:00,2.3385,2.3425,2.3285,2.342,776
2023-12-28T14:45:00+00:00,2.342,2.3695,2.3335,2.3675,10630
2023-12-28T14:50:00+00:00,2.3675,2.3695,2.351,2.3685,3974
2023-12-28T14:55:00+00:00,2.3685,2.37,2.3515,2.3515,3708
2023-12-28T15:00:00+00:00,2.3635,2.3675,2.351,2.3565,2243
2023-12-28T15:05:00+00:00,2.357,2.367,2.351,2.3595,992
2023-12-28T15:10:00+00:00,2.359,2.369,2.351,2.365,4347
2023-12-28T15:15:00+00:00,2.3645,2.43,2.355,2.43,5612
2023-12-28T15:20:00+00:00,2.4285,2.4295,2.36,2.41,6112
2023-12-28T15:25:00+00:00,2.41,2.4755,2.393,2.4585,5345
2023-12-28T15:30:00+00:00,2.457,2.4585,2.3715,2.393,2628
2023-12-28T15:35:00+00:00,2.393,2.393,2.37,2.39,1868
2023-12-28T15:45:00+00:00,2.37,2.37,2.37,2.37,503
2023-12-29T06:55:00+00:00,2.349,2.349,2.349,2.349,549
2023-12-29T07:00:00+00:00,2.3495,2.37,2.3495,2.3575,4015
2023-12-29T07:05:00+00:00,2.357,2.3775,2.353,2.366,2989
2023-12-29T07:10:00+00:00,2.366,2.366,2.3535,2.3615,455
2023-12-29T07:15:00+00:00,2.362,2.362,2.353,2.357,925
2023-12-29T07:20:00+00:00,2.357,2.357,2.353,2.353,1553
2023-12-29T07:25:00+00:00,2.353,2.3535,2.353,2.353,541
2023-12-29T07:30:00+00:00,2.353,2.3535,2.3435,2.3505,1889
2023-12-29T07:35:00+00:00,2.352,2.37,2.3435,2.3585,3808
2023-12-29T07:40:00+00:00,2.3605,2.44,2.3575,2.388,13231
2023-12-29T07:45:00+00:00,2.388,2.4135,2.3845,2.403,3342
2023-12-29T07:50:00+00:00,2.403,2.5195,2.4,2.47,35232
2023-12-29T07:55:00+00:00,2.4755,2.5,2.4605,2.476,13835
2023-12-29T08:00:00+00:00,2.475,2.481,2.45,2.45,6279
2023-12-29T08:05:00+00:00,2.449,2.461,2.4275,2.459,11578
2023-12-29T08:10:00+00:00,2.459,2.459,2.4055,2.4135,8425
2023-12-29T08:15:00+00:00,2.4135,2.423,2.4005,2.416,2559
2023-12-29T08:20:00+00:00,2.4195,2.4325,2.4145,2.4325,1977
2023-12-29T08:25:00+00:00,2.4325,2.4415,2.4235,2.4415,2415
2023-12-29T08:30:00+00:00,2.4415,2.484,2.4415,2.471,7366
2023-12-29T08:35:00+00:00,2.461,2.4685,2.425,2.425,2301
2023-12-29T08:40:00+00:00,2.425,2.4635,2.425,2.4625,1760
2023-12-29T08:45:00+00:00,2.4625,2.4635,2.433,2.4495,2554
2023-12-29T08:50:00+00:00,2.45,2.46,2.446,2.4555,2708
2023-12-29T08:55:00+00:00,2.459,2.4605,2.4395,2.4395,2248
2023-12-29T09:00:00+00:00,2.451,2.4605,2.4315,2.4555,1963
2023-12-29T09:05:00+00:00,2.4545,2.459,2.441,2.441,828
2023-12-29T09:10:00+00:00,2.44,2.449,2.435,2.4385,771
2023-12-29T09:15:00+00:00,2.438,2.446,2.4255,2.4365,1366
2023-12-29T09:20:00+00:00,2.426,2.441,2.3905,2.3955,4185
