time,open,high,low,close,volume
2023-01-03T06:55:00+00:00,81.75,81.75,81.75,81.75,3
2023-01-03T07:00:00+00:00,81.8,82.8,81.8,82.0,103
2023-01-03T07:05:00+00:00,82.0,82.0,81.2,81.4,53
2023-01-03T07:10:00+00:00,81.85,81.95,81.3,81.95,162
2023-01-03T07:15:00+00:00,81.6,81.95,81.55,81.95,40
2023-01-03T07:20:00+00:00,81.95,82.4,81.85,81.85,31
2023-01-03T07:35:00+00:00,82.2,82.2,82.15,82.2,51
2023-01-03T07:55:00+00:00,82.15,82.2,82.15,82.2,34
2023-01-03T08:00:00+00:00,82.2,82.35,82.2,82.35,11
2023-01-03T08:05:00+00:00,82.35,82.35,82.3,82.3,24
2023-01-03T08:10:00+00:00,82.3,82.3,82.3,82.3,5
2023-01-03T08:15:00+00:00,82.3,82.3,82.05,82.05,17
2023-01-03T08:20:00+00:00,82.35,82.35,82.35,82.35,1
2023-01-03T08:30:00+00:00,82.3,82.4,82.3,82.4,86
2023-01-03T08:40:00+00:00,82.4,82.4,82.4,82.4,98
2023-01-03T08:45:00+00:00,82.4,82.4,82.4,82.4,5
2023-01-03T08:50:00+00:00,82.1,82.1,82.1,82.1,6
2023-01-03T08:55:00+00:00,82.4,82.45,82.4,82.45,156
2023-01-03T09:00:00+00:00,82.45,82.45,82.45,82.45,2
2023-01-03T09:05:00+00:00,82.45,82.45,82.45,82.45,1
2023-01-03T09:25:00+00:00,82.15,82.15,82.15,82.15,9
2023-01-03T09:30:00+00:00,82.15,82.15,82.15,82.15,11
2023-01-03T09:45:00+00:00,82.1,82.35,82.05,82.35,56
2023-01-03T10:00:00+00:00,82.4,82.55,82.35,82.55,59
2023-01-03T10:15:00+00:00,82.55,82.55,82.25,82.25,27
2023-01-03T10:20:00+00:00,82.45,82.45,82.45,82.45,6
2023-01-03T10:30:00+00:00,82.5,82.5,82.5,82.5,1
2023-01-03T10:35:00+00:00,82.45,82.45,82.45,82.45,1
2023-01-03T11:00:00+00:00,82.45,82.6,82.45,82.6,81
2023-01-03T11:05:00+00:00,82.6,82.6,82.3,82.3,77
2023-01-03T11:10:00+00:00,82.3,82.3,82.3,82.3,36
2023-01-03T11:15:00+00:00,82.25,82.25,82.25,82.25,1
2023-01-03T11:20:00+00:00,82.15,82.15,82.05,82.05,3
2023-01-03T11:25:00+00:00,82.3,82.3,82.3,82.3,2
2023-01-03T11:30:00+00:00,82.3,82.3,82.3,82.3,8
2023-01-03T11:35:00+00:00,82.3,82.3,82.3,82.3,15
2023-01-03T11:45:00+00:00,82.2,82.2,82.2,82.2,1
2023-01-03T11:50:00+00:00,82.3,82.3,82.05,82.05,122
2023-01-03T12:00:00+00:00,82.1,83.2,82.1,83.2,551
2023-01-03T12:05:00+00:00,83.2,88.35,83.2,88.35,4531
2023-01-03T12:10:00+00:00,88.05,89.8,86.05,86.1,5896
2023-01-03T12:15:00+00:00,86.1,86.95,86.0,86.6,1149
2023-01-03T12:20:00+00:00,86.7,86.9,85.8,85.8,1073
2023-01-03T12:25:00+00:00,85.75,85.9,85.0,85.75,783
2023-01-03T12:30:00+00:00,85.75,85.75,85.3,85.55,164
2023-01-03T12:35:00+00:00,85.6,85.75,85.1,85.55,626
2023-01-03T12:40:00+00:00,85.35,85.45,85.05,85.05,108
2023-01-03T12:45:00+00:00,85.05,85.15,85.0,85.15,451
2023-01-03T12:50:00+00:00,85.1,85.15,85.0,85.15,257
2023-01-03T12:55:00+00:00,85.15,85.75,85.0,85.55,292
2023-01-03T13:00:00+00:00,85.55,85.8,85.2,85.35,207
2023-01-03T13:05:00+00:00,85.35,85.35,84.6,84.6,513
2023-01-03T13:10:00+00:00,84.55,84.95,84.55,84.95,160
2023-01-03T13:15:00+00:00,84.95,85.35,84.95,85.2,166
2023-01-03T13:20:00+00:00,84.9,84.9,84.8,84.8,31
2023-01-03T13:25:00+00:00,84.75,84.8,84.75,84.8,11
2023-01-03T13:30:00+00:00,84.75,84.75,84.15,84.15,365
2023-01-03T13:35:00+00:00,84.15,84.15,84.1,84.1,16
2023-01-03T13:40:00+00:00,84.1,84.75,84.1,84.75,301
2023-01-03T13:45:00+00:00,84.75,84.9,84.75,84.8,50
2023-01-03T13:50:00+00:00,84.7,84.7,84.35,84.35,42
2023-01-03T13:55:00+00:00,84.7,84.7,84.35,84.55,8
2023-01-03T14:00:00+00:00,84.55,84.65,84.3,84.3,191
2023-01-03T14:05:00+00:00,84.3,84.45,84.2,84.2,52
2023-01-03T14:10:00+00:00,84.2,84.4,84.2,84.4,30
2023-01-03T14:15:00+00:00,84.4,84.55,84.4,84.55,28
2023-01-03T14:20:00+00:00,84.45,84.45,84.45,84.45,2
2023-01-03T14:25:00+00:00,84.45,84.5,83.7,83.7,426
2023-01-03T14:30:00+00:00,84.25,84.25,83.8,84.15,464
2023-01-03T14:35:00+00:00,84.15,85.55,83.7,84.65,1460
2023-01-03T14:40:00+00:00,84.5,84.5,84.4,84.4,16
2023-01-03T14:45:00+00:00,84.4,85.5,84.4,85.5,283
2023-01-03T14:50:00+00:00,85.45,85.5,84.75,84.85,105
2023-01-03T14:55:00+00:00,84.75,85.0,84.7,85.0,45
2023-01-03T15:00:00+00:00,84.7,84.7,84.25,84.3,145
2023-01-03T15:05:00+00:00,84.3,84.3,83.75,83.9,171
2023-01-03T15:10:00+00:00,84.0,85.3,83.1,84.35,1508
2023-01-03T15:15:00+00:00,85.0,85.3,84.9,84.9,556
2023-01-03T15:20:00+00:00,85.05,85.25,84.0,84.3,608
2023-01-03T15:25:00+00:00,84.2,85.0,84.2,85.0,168
2023-01-03T15:30:00+00:00,85.0,85.05,82.8,83.55,897
2023-01-03T15:35:00+00:00,83.4,83.7,83.1,83.45,49
2023-01-03T15:45:00+00:00,83.4,83.4,83.4,83.4,82
2023-01-04T07:00:00+00:00,83.2,84.4,83.2,84.4,342
2023-01-04T07:05:00+00:00,84.5,85.45,83.75,84.35,159
2023-01-04T07:10:00+00:00,84.45,84.55,84.0,84.35,78
2023-01-04T07:15:00+00:00,84.35,84.45,84.05,84.05,70
2023-01-04T07:20:00+00:00,83.95,84.25,83.6,83.95,36
2023-01-04T07:25:00+00:00,83.95,85.7,83.85,85.35,518
2023-01-04T07:30:00+00:00,85.2,85.4,84.9,85.4,88
2023-01-04T07:35:00+00:00,85.45,85.5,85.15,85.35,72
2023-01-04T07:40:00+00:00,85.35,85.45,85.1,85.15,220
2023-01-04T07:45:00+00:00,85.1,85.35,85.05,85.35,119
2023-01-04T07:50:00+00:00,85.35,85.45,85.2,85.45,196
2023-01-04T07:55:00+00:00,85.45,85.55,85.45,85.55,73
2023-01-04T08:00:00+00:00,85.3,85.55,85.05,85.5,123
2023-01-04T08:05:00+00:00,85.1,85.1,84.65,84.65,67
2023-01-04T08:10:00+00:00,84.7,85.05,84.1,84.15,99
2023-01-04T08:15:00+00:00,84.75,85.15,84.5,84.8,80
2023-01-04T08:20:00+00:00,85.1,85.4,85.0,85.0,65
2023-01-04T08:25:00+00:00,85.0,85.25,84.9,84.9,54
2023-01-04T08:30:00+00:00,84.9,84.9,84.75,84.9,16
2023-01-04T08:35:00+00:00,84.85,84.95,84.85,84.95,36
2023-01-04T08:40:00+00:00,84.95,84.95,84.95,84.95,1
2023-01-04T08:45:00+00:00,84.95,85.25,84.75,84.75,180
2023-01-04T08:50:00+00:00,85.1,85.2,85.1,85.2,22
2023-01-04T08:55:00+00:00,85.1,85.1,84.8,84.8,24
2023-01-04T09:00:00+00:00,84.65,84.65,84.65,84.65,23
2023-01-04T09:05:00+00:00,84.8,85.15,84.75,84.75,56
2023-01-04T09:10:00+00:00,84.75,84.9,84.6,84.6,35
2023-01-04T09:20:00+00:00,84.7,85.1,84.55,85.1,27
2023-01-04T09:25:00+00:00,85.05,85.05,85.0,85.05,3
2023-01-04T09:30:00+00:00,85.0,85.0,84.95,84.95,2
2023-01-04T09:40:00+00:00,84.95,84.95,84.95,84.95,11
2023-01-04T09:45:00+00:00,84.95,84.95,84.95,84.95,44
2023-01-04T09:50:00+00:00,84.65,84.65,84.65,84.65,6
2023-01-04T10:00:00+00:00,84.95,84.95,84.95,84.95,5
2023-01-04T10:05:00+00:00,84.95,85.0,84.95,85.0,10
2023-01-04T10:10:00+00:00,85.0,85.0,85.0,85.0,293
2023-01-04T10:15:00+00:00,84.95,84.95,84.6,84.65,115
2023-01-04T10:20:00+00:00,84.65,84.65,84.25,84.25,287
2023-01-04T10:25:00+00:00,84.65,84.75,84.65,84.75,57
2023-01-04T10:30:00+00:00,84.75,84.75,84.5,84.6,21
2023-01-04T10:35:00+00:00,84.75,84.8,84.75,84.8,29
2023-01-04T10:45:00+00:00,84.4,84.4,84.25,84.25,15
2023-01-04T10:50:00+00:00,84.35,84.35,84.25,84.25,112
2023-01-04T10:55:00+00:00,84.2,84.35,84.0,84.35,69
2023-01-04T11:00:00+00:00,84.25,85.5,84.25,85.4,611
2023-01-04T11:05:00+00:00,85.4,85.4,85.05,85.05,11
2023-01-04T11:10:00+00:00,85.0,85.0,84.95,84.95,15
2023-01-04T11:15:00+00:00,85.3,85.3,85.05,85.05,13
2023-01-04T11:20:00+00:00,85.1,85.1,84.95,84.95,7
2023-01-04T11:25:00+00:00,85.0,85.2,85.0,85.2,12
2023-01-04T11:30:00+00:00,84.95,85.05,84.9,85.05,89
2023-01-04T11:35:00+00:00,85.05,85.1,85.05,85.1,15
2023-01-04T11:40:00+00:00,85.1,85.1,85.1,85.1,2
2023-01-04T11:45:00+00:00,84.75,84.75,84.75,84.75,3
2023-01-04T11:55:00+00:00,85.1,85.1,85.1,85.1,3
2023-01-04T12:00:00+00:00,85.1,85.1,84.45,85.1,112
2023-01-04T12:05:00+00:00,85.05,85.05,85.05,85.05,1
2023-01-04T12:10:00+00:00,85.1,85.1,85.1,85.1,3
2023-01-04T12:15:00+00:00,84.6,84.6,84.45,84.45,87
2023-01-04T12:20:00+00:00,84.8,84.8,84.4,84.4,51
2023-01-04T12:25:00+00:00,84.75,84.75,84.75,84.75,1
2023-01-04T12:35:00+00:00,84.5,84.5,84.45,84.45,15
2023-01-04T12:40:00+00:00,84.7,84.7,84.45,84.45,7
2023-01-04T12:45:00+00:00,84.7,84.7,84.7,84.7,5
2023-01-04T12:55:00+00:00,84.7,84.8,84.7,84.8,25
2023-01-04T13:00:00+00:00,84.55,84.95,84.55,84.8,275
2023-01-04T13:10:00+00:00,85.05,85.1,84.9,84.9,34
2023-01-04T13:15:00+00:00,84.95,84.95,84.8,84.8,68
2023-01-04T13:25:00+00:00,85.05,85.1,85.0,85.0,121
2023-01-04T13:40:00+00:00,85.0,85.0,85.0,85.0,5
2023-01-04T13:55:00+00:00,85.0,85.0,85.0,85.0,10
2023-01-04T14:00:00+00:00,85.0,85.0,85.0,85.0,20
2023-01-04T14:10:00+00:00,85.0,85.95,85.0,85.95,272
2023-01-04T14:15:00+00:00,85.9,87.5,85.7,86.25,2659
2023-01-04T14:20:00+00:00,86.25,86.45,85.55,85.9,421
2023-01-04T14:25:00+00:00,85.95,86.95,85.95,86.95,283
2023-01-04T14:30:00+00:00,86.9,86.95,85.3,86.15,509
2023-01-04T14:35:00+00:00,86.05,86.1,85.0,85.0,233
2023-01-04T14:40:00+00:00,85.1,85.45,85.1,85.35,44
2023-01-04T14:45:00+00:00,85.35,85.35,85.05,85.1,95
2023-01-04T14:50:00+00:00,85.3,85.85,85.3,85.85,146
2023-01-04T14:55:00+00:00,85.75,85.85,85.35,85.8,60
2023-01-04T15:00:00+00:00,85.7,85.7,85.4,85.4,61
2023-01-04T15:05:00+00:00,85.4,85.4,85.35,85.35,15
2023-01-04T15:10:00+00:00,85.35,85.35,85.1,85.1,84
2023-01-04T15:15:00+00:00,85.1,85.1,85.1,85.1,1
2023-01-04T15:20:00+00:00,85.2,85.2,85.2,85.2,1
2023-01-04T15:25:00+00:00,85.4,85.4,85.1,85.1,20
