time,open,high,low,close,volume
2023-01-03T06:55:00+00:00,73.5,73.5,73.5,73.5,76
2023-01-03T07:00:00+00:00,73.54,74.12,73.5,73.9,180
2023-01-03T07:05:00+00:00,73.98,74.24,73.88,74.2,182
2023-01-03T07:10:00+00:00,74.24,74.78,74.14,74.78,703
2023-01-03T07:15:00+00:00,74.78,74.9,74.4,74.4,523
2023-01-03T07:20:00+00:00,74.6,74.82,74.4,74.72,122
2023-01-03T07:25:00+00:00,74.8,75.0,74.44,74.72,585
2023-01-03T07:30:00+00:00,74.54,74.72,74.52,74.54,56
2023-01-03T07:35:00+00:00,74.52,75.0,74.52,74.9,139
2023-01-03T07:40:00+00:00,74.96,75.0,74.84,74.98,123
2023-01-03T07:45:00+00:00,74.96,74.96,74.84,74.86,85
2023-01-03T07:50:00+00:00,74.86,74.9,74.76,74.76,30
2023-01-03T07:55:00+00:00,74.78,74.78,74.72,74.76,36
2023-01-03T08:00:00+00:00,74.86,74.86,74.7,74.82,371
2023-01-03T08:05:00+00:00,74.8,74.82,74.8,74.8,62
2023-01-03T08:10:00+00:00,74.82,74.82,74.7,74.7,330
2023-01-03T08:15:00+00:00,74.74,74.8,74.74,74.8,85
2023-01-03T08:20:00+00:00,74.78,74.8,74.76,74.76,65
2023-01-03T08:25:00+00:00,74.8,74.8,74.76,74.76,824
2023-01-03T08:30:00+00:00,74.76,74.8,74.76,74.8,14
2023-01-03T08:35:00+00:00,74.8,74.8,74.8,74.8,103
2023-01-03T08:40:00+00:00,74.78,74.8,74.76,74.76,89
2023-01-03T08:45:00+00:00,74.8,74.82,74.76,74.82,170
2023-01-03T08:50:00+00:00,74.86,74.86,74.82,74.86,205
2023-01-03T08:55:00+00:00,74.82,74.82,74.82,74.82,79
2023-01-03T09:00:00+00:00,74.82,74.82,74.82,74.82,5
2023-01-03T09:05:00+00:00,74.82,74.88,74.82,74.86,52
2023-01-03T09:10:00+00:00,74.8,74.86,74.8,74.86,17
2023-01-03T09:15:00+00:00,74.86,74.9,74.86,74.9,151
2023-01-03T09:20:00+00:00,74.9,74.9,74.9,74.9,145
2023-01-03T09:25:00+00:00,74.94,74.98,74.94,74.98,137
2023-01-03T09:30:00+00:00,74.94,74.98,74.94,74.96,75
2023-01-03T09:35:00+00:00,74.96,74.98,74.96,74.98,86
2023-01-03T09:40:00+00:00,74.98,74.98,74.94,74.98,124
2023-01-03T09:45:00+00:00,74.98,75.0,74.96,75.0,214
2023-01-03T09:50:00+00:00,74.98,75.0,74.98,75.0,131
2023-01-03T09:55:00+00:00,75.0,75.0,75.0,75.0,2
2023-01-03T10:00:00+00:00,75.0,75.0,74.92,74.92,393
2023-01-03T10:05:00+00:00,74.98,74.98,74.92,74.98,42
2023-01-03T10:10:00+00:00,74.98,75.0,74.98,75.0,38
2023-01-03T10:15:00+00:00,74.98,75.0,74.98,75.0,7
2023-01-03T10:20:00+00:00,75.0,75.04,75.0,75.04,648
2023-01-03T10:25:00+00:00,75.08,75.08,75.04,75.04,17
2023-01-03T10:30:00+00:00,75.06,75.06,75.04,75.04,8
2023-01-03T10:35:00+00:00,75.08,75.08,75.04,75.08,5
2023-01-03T10:40:00+00:00,75.08,75.1,75.08,75.1,312
2023-01-03T10:45:00+00:00,75.1,75.16,75.1,75.16,35
2023-01-03T10:50:00+00:00,75.16,75.16,75.12,75.12,123
2023-01-03T10:55:00+00:00,75.1,75.18,75.1,75.18,5
2023-01-03T11:00:00+00:00,75.12,75.12,75.1,75.1,113
