time,open,high,low,close,volume
2023-01-03T06:55:00+00:00,84.15,84.15,84.15,84.15,3
2023-01-03T07:00:00+00:00,84.2,84.4,84.0,84.4,76
2023-01-03T07:05:00+00:00,84.2,84.3,84.0,84.0,22
2023-01-03T07:10:00+00:00,84.0,84.35,84.0,84.35,153
2023-01-03T07:15:00+00:00,84.35,84.4,84.35,84.4,14
2023-01-03T07:20:00+00:00,84.4,84.6,84.4,84.6,304
2023-01-03T07:25:00+00:00,84.7,84.7,84.7,84.7,1
2023-01-03T07:30:00+00:00,84.7,84.8,84.7,84.8,39
2023-01-03T07:35:00+00:00,84.9,84.95,84.9,84.95,17
2023-01-03T07:40:00+00:00,84.9,84.9,84.75,84.75,39
2023-01-03T07:45:00+00:00,84.85,84.9,84.55,84.75,19
2023-01-03T07:50:00+00:00,84.6,84.6,84.45,84.5,163
2023-01-03T07:55:00+00:00,84.85,84.85,84.85,84.85,3
2023-01-03T08:00:00+00:00,84.85,84.95,84.8,84.95,17
2023-01-03T08:05:00+00:00,84.9,84.95,84.9,84.9,29
2023-01-03T08:10:00+00:00,84.85,84.9,84.75,84.9,17
2023-01-03T08:15:00+00:00,84.8,84.8,84.8,84.8,1
2023-01-03T08:20:00+00:00,84.9,84.95,84.85,84.95,7
2023-01-03T08:25:00+00:00,84.9,84.9,84.9,84.9,2
2023-01-03T08:30:00+00:00,84.9,84.95,84.9,84.95,8
2023-01-03T08:35:00+00:00,84.85,84.85,84.85,84.85,11
2023-01-03T08:40:00+00:00,84.9,85.0,84.9,85.0,81
2023-01-03T08:45:00+00:00,85.0,85.0,85.0,85.0,7
2023-01-03T08:50:00+00:00,85.0,85.0,84.9,85.0,28
2023-01-03T08:55:00+00:00,85.0,85.0,85.0,85.0,13
2023-01-03T09:00:00+00:00,84.95,84.95,84.9,84.9,17
2023-01-03T09:05:00+00:00,84.9,85.0,84.85,84.85,19
2023-01-03T09:10:00+00:00,85.0,85.0,85.0,85.0,6
2023-01-03T09:15:00+00:00,85.0,85.0,85.0,85.0,8
2023-01-03T09:20:00+00:00,85.0,85.0,85.0,85.0,1
2023-01-03T09:30:00+00:00,84.95,84.95,84.95,84.95,1
2023-01-03T09:40:00+00:00,85.0,85.0,83.75,83.8,408
2023-01-03T09:45:00+00:00,84.3,84.45,84.3,84.45,80
2023-01-03T09:50:00+00:00,84.6,84.6,84.5,84.5,18
2023-01-03T09:55:00+00:00,84.5,84.5,84.5,84.5,3
2023-01-03T10:00:00+00:00,84.65,84.75,84.5,84.75,66
2023-01-03T10:05:00+00:00,84.85,84.85,84.6,84.85,15
2023-01-03T10:15:00+00:00,84.65,84.65,84.65,84.65,8
2023-01-03T10:25:00+00:00,84.75,84.75,84.75,84.75,1
2023-01-03T10:30:00+00:00,84.75,84.75,84.75,84.75,1
2023-01-03T10:35:00+00:00,84.7,84.75,84.6,84.6,16
2023-01-03T10:45:00+00:00,84.85,84.9,84.85,84.9,2
2023-01-03T10:50:00+00:00,84.85,85.0,84.85,85.0,86
2023-01-03T10:55:00+00:00,85.0,85.0,85.0,85.0,3
2023-01-03T11:00:00+00:00,84.95,84.95,84.85,84.85,15
2023-01-03T11:05:00+00:00,84.85,84.85,84.85,84.85,7
2023-01-03T11:10:00+00:00,84.8,84.85,84.65,84.65,52
2023-01-03T11:15:00+00:00,84.8,84.8,84.75,84.75,20
2023-01-03T11:20:00+00:00,84.65,84.75,84.6,84.6,87
2023-01-03T11:25:00+00:00,84.65,84.65,84.55,84.6,204
2023-01-03T11:30:00+00:00,84.7,84.9,84.7,84.8,13
2023-01-03T11:40:00+00:00,84.9,84.95,84.8,84.8,42
2023-01-03T11:50:00+00:00,84.9,85.0,84.9,85.0,12
2023-01-03T11:55:00+00:00,85.0,85.0,84.75,84.75,2
2023-01-03T12:05:00+00:00,84.8,84.9,84.7,84.85,32
2023-01-03T12:15:00+00:00,84.95,84.95,84.95,84.95,4
2023-01-03T12:20:00+00:00,84.95,84.95,84.95,84.95,5
2023-01-03T12:25:00+00:00,84.85,84.85,84.85,84.85,5
2023-01-03T12:30:00+00:00,84.85,84.85,84.75,84.75,5
2023-01-03T12:40:00+00:00,84.95,84.95,84.95,84.95,3
2023-01-03T12:55:00+00:00,84.95,85.25,84.95,85.25,197
2023-01-03T13:00:00+00:00,85.15,85.15,85.05,85.05,3
2023-01-03T13:05:00+00:00,85.2,85.2,85.2,85.2,5
2023-01-03T13:10:00+00:00,85.0,85.15,84.95,85.15,65
2023-01-03T13:20:00+00:00,85.1,85.1,85.1,85.1,5
2023-01-03T13:25:00+00:00,84.95,84.95,84.95,84.95,4
2023-01-03T13:30:00+00:00,85.15,85.15,85.05,85.05,14
2023-01-03T13:35:00+00:00,85.0,85.0,85.0,85.0,2
2023-01-03T13:50:00+00:00,85.0,85.05,85.0,85.05,12
2023-01-03T13:55:00+00:00,84.95,84.95,84.85,84.9,52
2023-01-03T14:00:00+00:00,84.85,84.85,84.8,84.8,16
