time,open,high,low,close,volume
2024-10-17T13:05:00+00:00,34.98,34.98,34.98,34.98,121153
2024-10-17T13:10:00+00:00,34.98,35.0,33.96,34.64,369750
2024-10-17T13:15:00+00:00,34.63,35.07,34.51,34.72,340829
2024-10-17T13:20:00+00:00,34.72,34.91,34.65,34.84,120602
2024-10-17T13:25:00+00:00,34.84,34.88,34.34,34.39,161112
2024-10-17T13:30:00+00:00,34.39,34.45,34.24,34.36,121116
2024-10-17T13:35:00+00:00,34.36,34.4,34.05,34.07,187674
2024-10-17T13:40:00+00:00,34.07,34.1,33.77,34.07,240718
2024-10-17T13:45:00+00:00,34.06,34.18,34.01,34.17,57340
2024-10-17T13:50:00+00:00,34.17,34.17,33.99,34.05,66463
2024-10-17T13:55:00+00:00,34.05,34.05,33.98,34.03,53789
2024-10-17T14:00:00+00:00,34.03,34.05,33.93,34.05,48891
2024-10-17T14:05:00+00:00,34.05,34.05,33.91,33.98,26163
2024-10-17T14:10:00+00:00,33.98,33.98,33.81,33.85,48807
2024-10-17T14:15:00+00:00,33.85,33.88,33.41,33.46,113892
2024-10-17T14:20:00+00:00,33.45,33.9,33.41,33.87,122851
2024-10-17T14:25:00+00:00,33.89,33.95,33.85,33.9,34008
2024-10-17T14:30:00+00:00,33.9,33.9,33.79,33.86,18563
2024-10-17T14:35:00+00:00,33.86,33.87,33.7,33.77,44181
2024-10-17T14:40:00+00:00,33.76,33.77,33.57,33.58,12666
2024-10-17T14:45:00+00:00,33.58,33.6,33.48,33.5,43754
2024-10-17T14:50:00+00:00,33.5,33.7,33.48,33.63,81290
2024-10-17T14:55:00+00:00,33.63,33.67,33.54,33.65,34652
2024-10-17T15:00:00+00:00,33.66,33.68,33.57,33.67,31131
2024-10-17T15:05:00+00:00,33.68,33.69,33.51,33.56,13232
2024-10-17T15:10:00+00:00,33.56,33.58,33.3,33.45,101131
2024-10-17T15:15:00+00:00,33.45,33.5,33.3,33.45,57894
2024-10-17T15:20:00+00:00,33.45,33.45,33.31,33.32,26278
2024-10-17T15:25:00+00:00,33.31,33.33,33.1,33.31,58888
2024-10-17T15:30:00+00:00,33.31,33.38,32.99,33.03,120569
2024-10-17T15:35:00+00:00,33.03,33.05,32.85,33.0,68852
2024-10-17T15:45:00+00:00,33.0,33.0,33.0,33.0,8812
2024-10-18T06:55:00+00:00,33.0,33.0,33.0,33.0,12558
2024-10-18T07:00:00+00:00,33.04,33.45,32.77,32.98,54593
2024-10-18T07:05:00+00:00,33.08,33.38,33.0,33.35,38485
2024-10-18T07:10:00+00:00,33.35,33.37,33.14,33.35,19189
2024-10-18T07:15:00+00:00,33.35,33.65,33.28,33.64,29854
2024-10-18T07:20:00+00:00,33.58,33.65,33.33,33.5,25207
2024-10-18T07:25:00+00:00,33.5,33.8,33.44,33.79,50860
2024-10-18T07:30:00+00:00,33.79,33.92,33.75,33.92,31956
