time,open,high,low,close,volume
2023-01-03T06:55:00+00:00,2.134,2.134,2.134,2.134,100
2023-01-03T07:00:00+00:00,2.136,2.144,2.136,2.144,18
2023-01-03T07:05:00+00:00,2.136,2.14,2.134,2.14,751
2023-01-03T07:10:00+00:00,2.14,2.14,2.136,2.14,109
2023-01-03T07:15:00+00:00,2.138,2.14,2.136,2.138,183
2023-01-03T07:20:00+00:00,2.138,2.14,2.138,2.14,721
2023-01-03T07:25:00+00:00,2.14,2.17,2.14,2.148,738
2023-01-03T07:30:00+00:00,2.16,2.16,2.154,2.16,128
2023-01-03T07:35:00+00:00,2.158,2.16,2.158,2.16,313
2023-01-03T07:40:00+00:00,2.15,2.156,2.15,2.15,16
2023-01-03T07:45:00+00:00,2.156,2.156,2.15,2.15,100
2023-01-03T07:50:00+00:00,2.16,2.16,2.158,2.158,33
2023-01-03T07:55:00+00:00,2.158,2.16,2.156,2.158,574
2023-01-03T08:00:00+00:00,2.158,2.158,2.152,2.158,725
2023-01-03T08:05:00+00:00,2.158,2.158,2.158,2.158,81
2023-01-03T08:10:00+00:00,2.158,2.158,2.158,2.158,247
2023-01-03T08:15:00+00:00,2.158,2.158,2.158,2.158,203
2023-01-03T08:20:00+00:00,2.154,2.19,2.154,2.188,1149
2023-01-03T08:25:00+00:00,2.176,2.188,2.162,2.178,715
2023-01-03T08:30:00+00:00,2.178,2.178,2.16,2.174,1495
2023-01-03T08:35:00+00:00,2.174,2.174,2.16,2.17,857
2023-01-03T08:40:00+00:00,2.17,2.184,2.162,2.168,549
2023-01-03T08:45:00+00:00,2.17,2.17,2.17,2.17,5
2023-01-03T08:50:00+00:00,2.17,2.176,2.17,2.176,190
2023-01-03T08:55:00+00:00,2.174,2.182,2.17,2.17,51
2023-01-03T09:00:00+00:00,2.168,2.17,2.168,2.168,115
2023-01-03T09:05:00+00:00,2.17,2.17,2.17,2.17,105
2023-01-03T09:10:00+00:00,2.17,2.17,2.17,2.17,82
2023-01-03T09:15:00+00:00,2.17,2.17,2.17,2.17,3
2023-01-03T09:20:00+00:00,2.17,2.17,2.17,2.17,276
2023-01-03T09:25:00+00:00,2.18,2.182,2.17,2.172,329
2023-01-03T09:30:00+00:00,2.172,2.178,2.17,2.17,23
2023-01-03T09:35:00+00:00,2.17,2.17,2.17,2.17,53
2023-01-03T09:40:00+00:00,2.17,2.17,2.17,2.17,55
2023-01-03T09:45:00+00:00,2.174,2.174,2.174,2.174,2
2023-01-03T09:50:00+00:00,2.174,2.174,2.174,2.174,7
2023-01-03T10:00:00+00:00,2.174,2.174,2.174,2.174,5
2023-01-03T10:05:00+00:00,2.174,2.176,2.17,2.176,4
2023-01-03T10:10:00+00:00,2.176,2.182,2.176,2.182,420
2023-01-03T10:15:00+00:00,2.182,2.182,2.178,2.178,115
2023-01-03T10:20:00+00:00,2.182,2.182,2.17,2.17,501
2023-01-03T10:25:00+00:00,2.178,2.18,2.178,2.18,36
2023-01-03T10:30:00+00:00,2.18,2.18,2.18,2.18,10
2023-01-03T10:35:00+00:00,2.178,2.178,2.17,2.17,319
2023-01-03T10:40:00+00:00,2.172,2.176,2.17,2.176,106
2023-01-03T10:45:00+00:00,2.176,2.176,2.176,2.176,43
2023-01-03T10:50:00+00:00,2.178,2.18,2.178,2.18,20
2023-01-03T10:55:00+00:00,2.18,2.18,2.17,2.17,87
2023-01-03T11:00:00+00:00,2.18,2.182,2.18,2.18,6
2023-01-03T11:05:00+00:00,2.174,2.18,2.174,2.18,11
2023-01-03T11:10:00+00:00,2.174,2.174,2.174,2.174,74
2023-01-03T11:15:00+00:00,2.18,2.182,2.18,2.182,5
2023-01-03T11:20:00+00:00,2.174,2.174,2.172,2.174,40
2023-01-03T11:25:00+00:00,2.174,2.174,2.174,2.174,20
2023-01-03T11:30:00+00:00,2.18,2.18,2.18,2.18,21
2023-01-03T11:35:00+00:00,2.174,2.182,2.17,2.182,700
2023-01-03T11:40:00+00:00,2.182,2.182,2.182,2.182,2
2023-01-03T11:50:00+00:00,2.182,2.182,2.182,2.182,20
2023-01-03T11:55:00+00:00,2.174,2.182,2.174,2.182,10
2023-01-03T12:00:00+00:00,2.182,2.186,2.182,2.186,134
2023-01-03T12:05:00+00:00,2.186,2.186,2.182,2.182,65
2023-01-03T12:10:00+00:00,2.186,2.186,2.178,2.178,274
2023-01-03T12:15:00+00:00,2.186,2.186,2.172,2.184,616
2023-01-03T12:20:00+00:00,2.176,2.176,2.176,2.176,3
2023-01-03T12:25:00+00:00,2.184,2.186,2.184,2.184,15
2023-01-03T12:30:00+00:00,2.176,2.176,2.176,2.176,7
2023-01-03T12:35:00+00:00,2.176,2.18,2.174,2.176,21
2023-01-03T12:40:00+00:00,2.176,2.18,2.176,2.176,19
2023-01-03T12:45:00+00:00,2.176,2.176,2.176,2.176,25
2023-01-03T12:50:00+00:00,2.176,2.176,2.176,2.176,2
2023-01-03T12:55:00+00:00,2.176,2.176,2.176,2.176,18
2023-01-03T13:00:00+00:00,2.176,2.176,2.174,2.174,145
2023-01-03T13:05:00+00:00,2.174,2.18,2.174,2.18,111
2023-01-03T13:10:00+00:00,2.18,2.18,2.174,2.18,19
2023-01-03T13:15:00+00:00,2.18,2.18,2.18,2.18,11
2023-01-03T13:30:00+00:00,2.18,2.18,2.18,2.18,26
2023-01-03T13:35:00+00:00,2.18,2.18,2.18,2.18,588
2023-01-03T13:40:00+00:00,2.182,2.188,2.18,2.188,333
2023-01-03T13:45:00+00:00,2.18,2.188,2.18,2.188,35
2023-01-03T13:50:00+00:00,2.188,2.188,2.18,2.18,23
2023-01-03T13:55:00+00:00,2.18,2.188,2.18,2.188,2
2023-01-03T14:00:00+00:00,2.188,2.188,2.184,2.184,302
2023-01-03T14:05:00+00:00,2.184,2.184,2.184,2.184,25
2023-01-03T14:10:00+00:00,2.184,2.184,2.18,2.18,111
2023-01-03T14:15:00+00:00,2.184,2.184,2.184,2.184,12
2023-01-03T14:20:00+00:00,2.182,2.182,2.182,2.182,42
2023-01-03T14:25:00+00:00,2.182,2.184,2.18,2.18,37
2023-01-03T14:30:00+00:00,2.18,2.182,2.18,2.182,15
2023-01-03T14:35:00+00:00,2.182,2.182,2.18,2.18,4
2023-01-03T14:40:00+00:00,2.182,2.182,2.182,2.182,61
2023-01-03T14:45:00+00:00,2.182,2.182,2.18,2.18,54
2023-01-03T14:50:00+00:00,2.18,2.182,2.18,2.182,332
