time,open,high,low,close,volume
2023-01-03T07:10:00+00:00,2.6,2.6,2.6,2.6,2
2023-01-03T07:15:00+00:00,2.62,2.63,2.62,2.62,24
2023-01-03T07:20:00+00:00,2.62,2.63,2.62,2.63,32
2023-01-03T07:25:00+00:00,2.63,2.63,2.58,2.58,46
2023-01-03T08:05:00+00:00,2.6,2.6,2.6,2.6,1
2023-01-03T08:35:00+00:00,2.605,2.605,2.605,2.605,4
2023-01-03T08:40:00+00:00,2.6,2.6,2.59,2.59,54
2023-01-03T10:55:00+00:00,2.59,2.59,2.59,2.59,1
2023-01-03T11:10:00+00:00,2.595,2.595,2.595,2.595,1
2023-01-03T11:15:00+00:00,2.59,2.59,2.59,2.59,6
2023-01-03T11:30:00+00:00,2.6,2.6,2.6,2.6,50
2023-01-03T11:50:00+00:00,2.595,2.595,2.595,2.595,1
2023-01-03T11:55:00+00:00,2.595,2.595,2.595,2.595,1
2023-01-03T12:10:00+00:00,2.595,2.595,2.595,2.595,4
2023-01-03T12:50:00+00:00,2.595,2.595,2.595,2.595,2
2023-01-03T13:10:00+00:00,2.595,2.595,2.595,2.595,5
2023-01-03T13:45:00+00:00,2.595,2.595,2.595,2.595,6
2023-01-03T13:50:00+00:00,2.595,2.595,2.595,2.595,10
2023-01-03T14:05:00+00:00,2.595,2.595,2.595,2.595,72
2023-01-03T14:15:00+00:00,2.6,2.6,2.6,2.6,8
2023-01-03T15:00:00+00:00,2.595,2.595,2.595,2.595,1
2023-01-03T15:10:00+00:00,2.595,2.595,2.595,2.595,5
2023-01-04T07:10:00+00:00,2.59,2.595,2.59,2.595,75
2023-01-04T07:15:00+00:00,2.595,2.6,2.595,2.6,100
2023-01-04T07:20:00+00:00,2.61,2.63,2.61,2.63,21
2023-01-04T07:25:00+00:00,2.625,2.625,2.58,2.58,367
2023-01-04T07:30:00+00:00,2.585,2.585,2.57,2.57,60
2023-01-04T08:00:00+00:00,2.595,2.625,2.595,2.625,260
2023-01-04T08:20:00+00:00,2.62,2.62,2.57,2.57,270
2023-01-04T08:25:00+00:00,2.61,2.61,2.61,2.61,14
2023-01-04T08:45:00+00:00,2.6,2.61,2.6,2.61,20
2023-01-04T09:20:00+00:00,2.6,2.6,2.595,2.595,4
2023-01-04T09:25:00+00:00,2.585,2.585,2.585,2.585,1
2023-01-04T09:30:00+00:00,2.58,2.58,2.58,2.58,1
2023-01-04T09:35:00+00:00,2.59,2.59,2.59,2.59,1
2023-01-04T09:55:00+00:00,2.59,2.59,2.59,2.59,2
2023-01-04T10:00:00+00:00,2.59,2.59,2.59,2.59,8
2023-01-04T11:00:00+00:00,2.595,2.595,2.595,2.595,1
2023-01-04T11:05:00+00:00,2.6,2.6,2.6,2.6,4
2023-01-04T11:40:00+00:00,2.59,2.59,2.59,2.59,2
2023-01-04T12:35:00+00:00,2.595,2.605,2.595,2.605,128
2023-01-04T12:40:00+00:00,2.605,2.605,2.605,2.605,6
2023-01-04T12:55:00+00:00,2.605,2.605,2.605,2.605,2
2023-01-04T13:15:00+00:00,2.605,2.605,2.605,2.605,2
2023-01-04T13:35:00+00:00,2.605,2.605,2.605,2.605,1
2023-01-04T14:20:00+00:00,2.605,2.61,2.605,2.61,2
2023-01-04T14:25:00+00:00,2.61,2.61,2.61,2.61,5
2023-01-04T14:55:00+00:00,2.61,2.61,2.61,2.61,1
2023-01-04T15:25:00+00:00,2.6,2.6,2.59,2.595,65
2023-01-04T15:30:00+00:00,2.59,2.59,2.59,2.59,6
2023-01-05T07:20:00+00:00,2.59,2.59,2.58,2.58,245
2023-01-05T07:25:00+00:00,2.58,2.58,2.58,2.58,5
2023-01-05T07:30:00+00:00,2.59,2.62,2.59,2.59,70
2023-01-05T07:50:00+00:00,2.6,2.6,2.6,2.6,2
2023-01-05T08:10:00+00:00,2.59,2.6,2.59,2.6,5
2023-01-05T08:30:00+00:00,2.6,2.6,2.6,2.6,1
2023-01-05T08:35:00+00:00,2.59,2.59,2.59,2.59,2
2023-01-05T08:40:00+00:00,2.59,2.59,2.585,2.585,16
2023-01-05T08:45:00+00:00,2.59,2.59,2.585,2.585,3
2023-01-05T08:50:00+00:00,2.585,2.585,2.575,2.575,78
2023-01-05T08:55:00+00:00,2.585,2.585,2.585,2.585,1
2023-01-05T09:00:00+00:00,2.585,2.585,2.58,2.58,5
2023-01-05T10:15:00+00:00,2.585,2.585,2.585,2.585,1
2023-01-05T10:20:00+00:00,2.59,2.59,2.59,2.59,2
2023-01-05T10:25:00+00:00,2.59,2.59,2.58,2.59,500
2023-01-05T12:35:00+00:00,2.585,2.585,2.585,2.585,1
2023-01-05T12:50:00+00:00,2.585,2.585,2.585,2.585,9
2023-01-05T13:15:00+00:00,2.59,2.59,2.59,2.59,15
2023-01-05T13:50:00+00:00,2.59,2.59,2.59,2.59,2
2023-01-05T14:10:00+00:00,2.59,2.59,2.59,2.59,7
2023-01-05T14:40:00+00:00,2.59,2.59,2.59,2.59,1
2023-01-05T14:55:00+00:00,2.59,2.59,2.59,2.59,1
2023-01-06T07:05:00+00:00,2.595,2.61,2.595,2.61,14
2023-01-06T07:10:00+00:00,2.61,2.61,2.61,2.61,7
2023-01-06T07:15:00+00:00,2.6,2.6,2.6,2.6,2
2023-01-06T07:20:00+00:00,2.6,2.6,2.6,2.6,2
2023-01-06T07:35:00+00:00,2.595,2.6,2.585,2.585,36
2023-01-06T08:00:00+00:00,2.595,2.6,2.585,2.585,10
2023-01-06T08:10:00+00:00,2.595,2.6,2.595,2.6,3
2023-01-06T09:00:00+00:00,2.6,2.61,2.6,2.605,4
2023-01-06T09:05:00+00:00,2.605,2.61,2.605,2.61,3
2023-01-06T09:10:00+00:00,2.605,2.61,2.605,2.61,12
2023-01-06T09:15:00+00:00,2.6,2.61,2.6,2.6,14
2023-01-06T09:20:00+00:00,2.6,2.6,2.6,2.6,4
2023-01-06T09:25:00+00:00,2.605,2.605,2.6,2.6,2
2023-01-06T09:30:00+00:00,2.595,2.595,2.595,2.595,2
2023-01-06T09:45:00+00:00,2.595,2.595,2.595,2.595,4
2023-01-06T10:05:00+00:00,2.605,2.605,2.605,2.605,1
2023-01-06T10:25:00+00:00,2.605,2.605,2.605,2.605,1
2023-01-06T10:40:00+00:00,2.6,2.6,2.6,2.6,1
2023-01-06T11:10:00+00:00,2.6,2.6,2.585,2.59,70
2023-01-06T11:45:00+00:00,2.59,2.59,2.59,2.59,1
2023-01-06T12:10:00+00:00,2.59,2.59,2.58,2.58,326
