time,open,high,low,close,volume
2023-01-03T06:55:00+00:00,50.26,50.26,50.26,50.26,6
2023-01-03T07:00:00+00:00,50.26,50.26,50.16,50.16,17
2023-01-03T07:05:00+00:00,50.18,50.18,49.92,49.94,29
2023-01-03T07:10:00+00:00,49.64,50.1,49.5,50.1,84
2023-01-03T07:15:00+00:00,50.04,50.08,49.84,49.84,30
2023-01-03T07:20:00+00:00,49.98,50.12,49.96,50.12,44
2023-01-03T07:25:00+00:00,50.14,50.18,50.12,50.18,11
2023-01-03T07:30:00+00:00,50.12,50.14,50.12,50.14,3
2023-01-03T07:35:00+00:00,50.12,50.12,50.12,50.12,2
2023-01-03T07:40:00+00:00,50.14,50.14,50.14,50.14,6
2023-01-03T07:45:00+00:00,50.12,50.12,49.98,49.98,16
2023-01-03T07:50:00+00:00,50.12,50.12,50.1,50.1,2
2023-01-03T07:55:00+00:00,50.02,50.1,50.02,50.1,21
2023-01-03T08:00:00+00:00,50.1,50.12,50.1,50.12,3
2023-01-03T08:05:00+00:00,50.06,50.14,50.06,50.14,16
2023-01-03T08:10:00+00:00,50.1,50.14,50.1,50.14,80
2023-01-03T08:15:00+00:00,50.06,50.14,50.04,50.06,563
2023-01-03T08:20:00+00:00,50.12,50.12,50.04,50.04,233
2023-01-03T08:25:00+00:00,50.02,50.02,49.96,49.96,10
2023-01-03T08:35:00+00:00,50.06,50.18,50.06,50.14,222
2023-01-03T08:40:00+00:00,50.14,50.18,50.14,50.18,281
2023-01-03T08:45:00+00:00,50.14,50.14,50.14,50.14,6
2023-01-03T08:50:00+00:00,50.16,50.16,50.14,50.14,70
2023-01-03T08:55:00+00:00,50.18,50.18,50.18,50.18,24
2023-01-03T09:00:00+00:00,50.18,50.18,50.16,50.16,14
2023-01-03T09:05:00+00:00,50.18,50.18,50.18,50.18,101
2023-01-03T09:10:00+00:00,50.16,50.18,50.16,50.16,7
2023-01-03T09:20:00+00:00,50.16,50.16,50.14,50.14,7
2023-01-03T09:25:00+00:00,50.18,50.18,50.16,50.18,4
2023-01-03T09:30:00+00:00,50.16,50.16,50.16,50.16,1
2023-01-03T09:40:00+00:00,50.18,50.18,50.18,50.18,8
2023-01-03T09:50:00+00:00,50.18,50.18,50.18,50.18,3
