time,open,high,low,close,volume
2023-01-03T06:55:00+00:00,0.74,0.74,0.74,0.74,2
2023-01-03T07:00:00+00:00,0.7416,0.7416,0.7376,0.7386,611
2023-01-03T07:05:00+00:00,0.7376,0.747,0.737,0.742,669
2023-01-03T07:10:00+00:00,0.742,0.7436,0.741,0.743,188
2023-01-03T07:15:00+00:00,0.743,0.745,0.743,0.7436,131
2023-01-03T07:20:00+00:00,0.744,0.7446,0.7406,0.741,65
2023-01-03T07:25:00+00:00,0.741,0.743,0.741,0.742,67
2023-01-03T07:30:00+00:00,0.7416,0.7416,0.7396,0.7396,132
2023-01-03T07:35:00+00:00,0.74,0.74,0.7396,0.7396,221
2023-01-03T07:40:00+00:00,0.7406,0.7406,0.74,0.74,76
2023-01-03T07:45:00+00:00,0.74,0.742,0.74,0.742,53
2023-01-03T07:50:00+00:00,0.742,0.743,0.742,0.7426,170
2023-01-03T08:00:00+00:00,0.741,0.747,0.741,0.7456,436
2023-01-03T08:05:00+00:00,0.746,0.748,0.746,0.748,323
2023-01-03T08:10:00+00:00,0.748,0.749,0.7476,0.749,202
2023-01-03T08:15:00+00:00,0.749,0.751,0.7476,0.7476,85
2023-01-03T08:20:00+00:00,0.749,0.749,0.747,0.747,6
2023-01-03T08:25:00+00:00,0.7486,0.749,0.748,0.748,160
2023-01-03T08:30:00+00:00,0.748,0.748,0.747,0.747,61
2023-01-03T08:35:00+00:00,0.748,0.748,0.747,0.748,16
2023-01-03T08:40:00+00:00,0.748,0.748,0.747,0.747,11
2023-01-03T08:45:00+00:00,0.748,0.748,0.747,0.7476,26
2023-01-03T08:50:00+00:00,0.748,0.748,0.7476,0.7476,3
2023-01-03T08:55:00+00:00,0.748,0.748,0.7476,0.7476,11
2023-01-03T09:00:00+00:00,0.7476,0.7476,0.7476,0.7476,50
2023-01-03T09:05:00+00:00,0.7476,0.748,0.7476,0.748,7
2023-01-03T09:10:00+00:00,0.7476,0.748,0.7476,0.7476,39
2023-01-03T09:15:00+00:00,0.748,0.749,0.748,0.749,62
2023-01-03T09:20:00+00:00,0.749,0.7496,0.749,0.7496,2
2023-01-03T09:25:00+00:00,0.749,0.753,0.749,0.753,366
2023-01-03T09:30:00+00:00,0.7526,0.7536,0.752,0.752,70
2023-01-03T09:35:00+00:00,0.752,0.7536,0.752,0.7536,13
2023-01-03T09:40:00+00:00,0.7536,0.7536,0.752,0.753,284
2023-01-03T09:45:00+00:00,0.753,0.753,0.752,0.752,134
2023-01-03T09:50:00+00:00,0.751,0.751,0.751,0.751,49
2023-01-03T09:55:00+00:00,0.752,0.752,0.7506,0.7506,6
2023-01-03T10:00:00+00:00,0.751,0.751,0.75,0.75,34
2023-01-03T10:05:00+00:00,0.75,0.75,0.75,0.75,41
2023-01-03T10:15:00+00:00,0.751,0.751,0.751,0.751,3
2023-01-03T10:20:00+00:00,0.75,0.75,0.75,0.75,44
2023-01-03T10:25:00+00:00,0.7496,0.754,0.7496,0.754,353
2023-01-03T10:30:00+00:00,0.7536,0.7536,0.751,0.753,111
2023-01-03T10:35:00+00:00,0.753,0.7536,0.7516,0.7536,308
2023-01-03T10:40:00+00:00,0.752,0.752,0.751,0.751,24
2023-01-03T10:45:00+00:00,0.751,0.751,0.751,0.751,2
2023-01-03T10:50:00+00:00,0.752,0.752,0.752,0.752,1
2023-01-03T10:55:00+00:00,0.751,0.752,0.7506,0.752,16
2023-01-03T11:00:00+00:00,0.752,0.752,0.75,0.7516,224
2023-01-03T11:05:00+00:00,0.7516,0.7516,0.75,0.7516,74
2023-01-03T11:10:00+00:00,0.75,0.75,0.75,0.75,343
2023-01-03T11:15:00+00:00,0.75,0.75,0.75,0.75,10
2023-01-03T11:20:00+00:00,0.7506,0.7506,0.7506,0.7506,101
2023-01-03T11:25:00+00:00,0.75,0.751,0.75,0.751,25
2023-01-03T11:30:00+00:00,0.751,0.751,0.751,0.751,5
2023-01-03T11:35:00+00:00,0.751,0.751,0.751,0.751,2
2023-01-03T11:40:00+00:00,0.75,0.751,0.75,0.751,7
2023-01-03T11:50:00+00:00,0.751,0.751,0.751,0.751,15
2023-01-03T11:55:00+00:00,0.751,0.751,0.751,0.751,6
2023-01-03T12:00:00+00:00,0.751,0.751,0.75,0.751,39
2023-01-03T12:05:00+00:00,0.751,0.751,0.75,0.75,136
2023-01-03T12:10:00+00:00,0.75,0.7506,0.75,0.75,23
2023-01-03T12:15:00+00:00,0.75,0.7506,0.75,0.75,86
2023-01-03T12:20:00+00:00,0.75,0.75,0.75,0.75,80
2023-01-03T12:25:00+00:00,0.7506,0.751,0.75,0.75,64
2023-01-03T12:30:00+00:00,0.75,0.75,0.75,0.75,103
2023-01-03T12:35:00+00:00,0.749,0.7506,0.749,0.75,26
2023-01-03T12:40:00+00:00,0.749,0.749,0.747,0.7476,152
2023-01-03T12:45:00+00:00,0.749,0.7496,0.749,0.749,101
2023-01-03T12:55:00+00:00,0.7476,0.7476,0.7476,0.7476,5
2023-01-03T13:00:00+00:00,0.749,0.749,0.749,0.749,1
2023-01-03T13:05:00+00:00,0.748,0.748,0.748,0.748,1
2023-01-03T13:10:00+00:00,0.749,0.7496,0.7486,0.7486,171
2023-01-03T13:15:00+00:00,0.7486,0.7486,0.7486,0.7486,323
2023-01-03T13:20:00+00:00,0.7486,0.7486,0.7486,0.7486,19
2023-01-03T13:25:00+00:00,0.748,0.748,0.748,0.748,2
2023-01-03T13:30:00+00:00,0.749,0.749,0.748,0.748,60
2023-01-03T13:35:00+00:00,0.7486,0.7486,0.7486,0.7486,1
2023-01-03T13:40:00+00:00,0.7486,0.7486,0.7486,0.7486,1
2023-01-03T13:45:00+00:00,0.7486,0.7486,0.7486,0.7486,63
2023-01-03T13:50:00+00:00,0.748,0.748,0.747,0.747,352
2023-01-03T13:55:00+00:00,0.747,0.748,0.7466,0.7466,109
2023-01-03T14:00:00+00:00,0.7466,0.7466,0.746,0.746,18
2023-01-03T14:05:00+00:00,0.746,0.746,0.742,0.7436,858
2023-01-03T14:10:00+00:00,0.7436,0.745,0.7426,0.7446,120
2023-01-03T14:15:00+00:00,0.745,0.7456,0.745,0.7456,215
2023-01-03T14:20:00+00:00,0.7456,0.746,0.7446,0.7446,22
2023-01-03T14:25:00+00:00,0.7446,0.7456,0.7446,0.7456,3
2023-01-03T14:30:00+00:00,0.745,0.7456,0.745,0.7456,60
2023-01-03T14:35:00+00:00,0.746,0.747,0.746,0.7466,28
2023-01-03T14:40:00+00:00,0.7476,0.7486,0.747,0.748,360
2023-01-03T14:45:00+00:00,0.748,0.7506,0.7476,0.7506,854
2023-01-03T14:50:00+00:00,0.75,0.7526,0.75,0.751,311
2023-01-03T14:55:00+00:00,0.751,0.751,0.7496,0.7496,223
2023-01-03T15:00:00+00:00,0.7496,0.7496,0.7496,0.7496,2
2023-01-03T15:05:00+00:00,0.75,0.7506,0.75,0.7506,3
2023-01-03T15:10:00+00:00,0.7506,0.7536,0.7506,0.753,350
2023-01-03T15:15:00+00:00,0.7516,0.7516,0.7516,0.7516,10
2023-01-03T15:20:00+00:00,0.7526,0.7526,0.7526,0.7526,1
2023-01-03T15:25:00+00:00,0.7516,0.752,0.7516,0.752,9
2023-01-03T15:30:00+00:00,0.752,0.752,0.7516,0.7516,8
2023-01-03T15:35:00+00:00,0.7516,0.7516,0.751,0.751,174
2023-01-03T15:45:00+00:00,0.751,0.751,0.751,0.751,11
