time,open,high,low,close,volume
2023-12-15T14:05:00+00:00,14.6,14.6,14.6,14.6,86923
2023-12-15T14:10:00+00:00,14.605,14.9,12.8,13.11,606529
2023-12-15T14:15:00+00:00,13.11,13.3,12.92,13.225,266185
2023-12-15T14:20:00+00:00,13.215,13.3,13.05,13.1,175992
2023-12-15T14:25:00+00:00,13.1,13.145,13.0,13.075,113376
2023-12-15T14:30:00+00:00,13.075,13.2,12.9,13.2,207750
2023-12-15T14:35:00+00:00,13.2,13.2,12.975,13.0,130406
2023-12-15T14:40:00+00:00,13.0,13.08,12.985,13.035,62179
2023-12-15T14:45:00+00:00,13.04,13.045,12.95,12.95,97301
2023-12-15T14:50:00+00:00,12.95,13.0,12.85,12.92,111406
2023-12-15T14:55:00+00:00,12.915,12.94,12.85,12.86,45979
2023-12-15T15:00:00+00:00,12.86,12.865,12.7,12.72,63421
2023-12-15T15:05:00+00:00,12.72,12.815,12.715,12.785,51942
2023-12-15T15:10:00+00:00,12.785,12.795,12.715,12.77,25993
2023-12-15T15:15:00+00:00,12.765,12.82,12.76,12.805,22531
2023-12-15T15:20:00+00:00,12.805,12.81,12.58,12.6,146190
2023-12-15T15:25:00+00:00,12.6,12.635,12.575,12.58,24001
2023-12-15T15:30:00+00:00,12.585,12.595,12.54,12.54,33785
2023-12-15T15:35:00+00:00,12.54,12.56,12.33,12.35,64082
2023-12-15T15:45:00+00:00,12.505,12.505,12.505,12.505,17769
2023-12-18T06:55:00+00:00,12.6,12.6,12.6,12.6,7877
2023-12-18T07:00:00+00:00,12.605,13.09,12.55,12.97,152233
2023-12-18T07:05:00+00:00,12.98,13.1,12.8,12.9,108303
2023-12-18T07:10:00+00:00,12.9,13.04,12.8,12.88,44001
2023-12-18T07:15:00+00:00,12.87,13.0,12.805,12.925,55410
2023-12-18T07:20:00+00:00,12.925,12.93,12.85,12.89,19970
2023-12-18T07:25:00+00:00,12.89,12.92,12.82,12.895,31553
2023-12-18T07:30:00+00:00,12.885,12.97,12.86,12.97,22815
2023-12-18T07:35:00+00:00,12.97,13.0,12.95,12.99,18498
2023-12-18T07:40:00+00:00,12.985,13.0,12.81,12.85,50111
2023-12-18T07:45:00+00:00,12.865,12.935,12.82,12.83,22977
2023-12-18T07:50:00+00:00,12.835,12.9,12.83,12.86,10473
2023-12-18T07:55:00+00:00,12.86,12.88,12.805,12.82,18020
2023-12-18T08:00:00+00:00,12.82,12.935,12.81,12.92,20494
2023-12-18T08:05:00+00:00,12.92,12.99,12.855,12.91,25521
2023-12-18T08:10:00+00:00,12.915,12.92,12.9,12.915,4578
2023-12-18T08:15:00+00:00,12.915,12.92,12.885,12.9,9020
2023-12-18T08:20:00+00:00,12.91,12.93,12.895,12.91,6799
