time,open,high,low,close,volume
2023-01-03T06:55:00+00:00,0.5155,0.5155,0.5155,0.5155,23
2023-01-03T07:00:00+00:00,0.5155,0.5585,0.5075,0.531,30344
2023-01-03T07:05:00+00:00,0.531,0.5465,0.522,0.533,19228
2023-01-03T07:10:00+00:00,0.5335,0.5355,0.52,0.5285,5361
2023-01-03T07:15:00+00:00,0.528,0.535,0.522,0.5265,5985
2023-01-03T07:20:00+00:00,0.5275,0.5275,0.5235,0.5255,2120
2023-01-03T07:25:00+00:00,0.526,0.527,0.52,0.5225,3040
2023-01-03T07:30:00+00:00,0.5225,0.5275,0.5225,0.5265,1720
2023-01-03T07:35:00+00:00,0.5265,0.5265,0.5215,0.525,1575
2023-01-03T07:40:00+00:00,0.5245,0.527,0.523,0.523,1850
2023-01-03T07:45:00+00:00,0.524,0.535,0.5225,0.5315,5484
2023-01-03T07:50:00+00:00,0.5315,0.538,0.5295,0.532,5901
2023-01-03T07:55:00+00:00,0.532,0.534,0.527,0.53,4127
2023-01-03T08:00:00+00:00,0.531,0.531,0.5265,0.528,1586
2023-01-03T08:05:00+00:00,0.528,0.529,0.525,0.527,1184
2023-01-03T08:10:00+00:00,0.527,0.5275,0.5235,0.5275,2259
2023-01-03T08:15:00+00:00,0.5275,0.53,0.5275,0.528,1381
2023-01-03T08:20:00+00:00,0.528,0.5285,0.5235,0.527,1227
2023-01-03T08:25:00+00:00,0.527,0.529,0.525,0.5275,1230
2023-01-03T08:30:00+00:00,0.527,0.5275,0.525,0.5275,237
2023-01-03T08:35:00+00:00,0.527,0.5275,0.5265,0.5275,912
2023-01-03T08:40:00+00:00,0.5275,0.528,0.5255,0.527,635
2023-01-03T08:45:00+00:00,0.527,0.5275,0.522,0.5245,2324
2023-01-03T08:50:00+00:00,0.525,0.525,0.523,0.5235,116
2023-01-03T08:55:00+00:00,0.5235,0.5245,0.5205,0.5245,1387
2023-01-03T09:00:00+00:00,0.523,0.525,0.5225,0.5245,385
2023-01-03T09:05:00+00:00,0.5245,0.5245,0.5225,0.524,69
2023-01-03T09:10:00+00:00,0.5225,0.5235,0.5215,0.5235,295
2023-01-03T09:15:00+00:00,0.5225,0.523,0.522,0.523,34
2023-01-03T09:20:00+00:00,0.5225,0.523,0.5215,0.5215,913
2023-01-03T09:25:00+00:00,0.5215,0.522,0.5205,0.522,842
2023-01-03T09:30:00+00:00,0.522,0.522,0.5205,0.522,288
2023-01-03T09:35:00+00:00,0.522,0.522,0.513,0.5165,3037
2023-01-03T09:40:00+00:00,0.5165,0.5195,0.516,0.5195,1074
2023-01-03T09:45:00+00:00,0.5185,0.519,0.513,0.5155,1564
2023-01-03T09:50:00+00:00,0.515,0.5175,0.515,0.5175,551
2023-01-03T09:55:00+00:00,0.517,0.5205,0.516,0.5205,658
2023-01-03T10:00:00+00:00,0.5205,0.5225,0.5205,0.5215,692
2023-01-03T10:05:00+00:00,0.5225,0.5225,0.5185,0.522,873
2023-01-03T10:10:00+00:00,0.522,0.522,0.519,0.5215,607
2023-01-03T10:15:00+00:00,0.521,0.5215,0.5205,0.521,203
2023-01-03T10:20:00+00:00,0.5205,0.521,0.52,0.52,82
2023-01-03T10:25:00+00:00,0.521,0.5235,0.52,0.5235,1088
2023-01-03T10:30:00+00:00,0.5225,0.5235,0.5215,0.5225,329
2023-01-03T10:35:00+00:00,0.5215,0.5225,0.52,0.5225,661
2023-01-03T10:40:00+00:00,0.5225,0.523,0.5225,0.523,640
2023-01-03T10:45:00+00:00,0.523,0.525,0.522,0.5235,1165
2023-01-03T10:50:00+00:00,0.524,0.5255,0.522,0.522,893
2023-01-03T10:55:00+00:00,0.524,0.524,0.523,0.524,146
2023-01-03T11:00:00+00:00,0.523,0.523,0.52,0.522,474
2023-01-03T11:05:00+00:00,0.521,0.523,0.5185,0.5225,1748
2023-01-03T11:10:00+00:00,0.5225,0.5285,0.5225,0.5275,3156
2023-01-03T11:15:00+00:00,0.5275,0.528,0.525,0.5255,1101
2023-01-03T11:20:00+00:00,0.5255,0.528,0.5235,0.5275,1623
2023-01-03T11:25:00+00:00,0.528,0.528,0.526,0.528,646
2023-01-03T11:30:00+00:00,0.528,0.528,0.525,0.527,529
2023-01-03T11:35:00+00:00,0.5265,0.528,0.526,0.528,199
2023-01-03T11:40:00+00:00,0.528,0.5335,0.5255,0.5285,2908
2023-01-03T11:45:00+00:00,0.5285,0.533,0.5275,0.5295,3277
2023-01-03T11:50:00+00:00,0.5295,0.5325,0.5275,0.5285,1856
2023-01-03T11:55:00+00:00,0.529,0.532,0.529,0.532,512
2023-01-03T12:00:00+00:00,0.532,0.532,0.5285,0.529,1255
2023-01-03T12:05:00+00:00,0.5295,0.5305,0.529,0.5305,425
2023-01-03T12:10:00+00:00,0.5305,0.531,0.521,0.527,3121
2023-01-03T12:15:00+00:00,0.5265,0.5265,0.524,0.524,805
2023-01-03T12:20:00+00:00,0.5255,0.5255,0.5205,0.5205,771
2023-01-03T12:25:00+00:00,0.5225,0.5255,0.521,0.524,770
2023-01-03T12:30:00+00:00,0.5245,0.5255,0.5245,0.5255,137
2023-01-03T12:35:00+00:00,0.5255,0.5265,0.525,0.5255,387
2023-01-03T12:40:00+00:00,0.525,0.525,0.524,0.524,261
2023-01-03T12:45:00+00:00,0.5245,0.5245,0.522,0.5225,228
2023-01-03T12:50:00+00:00,0.5225,0.5255,0.5225,0.524,560
2023-01-03T12:55:00+00:00,0.524,0.525,0.524,0.525,142
2023-01-03T13:00:00+00:00,0.5245,0.5245,0.5215,0.5235,910
2023-01-03T13:05:00+00:00,0.5235,0.525,0.5215,0.525,558
2023-01-03T13:10:00+00:00,0.5235,0.5235,0.5205,0.521,1006
