time,open,high,low,close,volume
2023-11-22T13:05:00+00:00,0.638,0.638,0.638,0.638,131923
2023-11-22T13:10:00+00:00,0.6378,0.64,0.572,0.6024,1182629
2023-11-22T13:15:00+00:00,0.6023,0.6025,0.5824,0.5863,564136
2023-11-22T13:20:00+00:00,0.5862,0.596,0.5832,0.5948,352766
2023-11-22T13:25:00+00:00,0.5948,0.596,0.5821,0.5844,413841
2023-11-22T13:30:00+00:00,0.5833,0.5889,0.582,0.5878,170628
2023-11-22T13:35:00+00:00,0.5878,0.5928,0.586,0.5916,171505
2023-11-22T13:40:00+00:00,0.5915,0.5977,0.5911,0.5942,141186
2023-11-22T13:45:00+00:00,0.594,0.595,0.588,0.5897,122896
2023-11-22T13:50:00+00:00,0.5898,0.59,0.5845,0.5886,83023
2023-11-22T13:55:00+00:00,0.5886,0.599,0.587,0.5923,146337
2023-11-22T14:00:00+00:00,0.5907,0.5968,0.5884,0.5894,45406
2023-11-22T14:05:00+00:00,0.5894,0.5913,0.5886,0.5897,44365
2023-11-22T14:10:00+00:00,0.5895,0.5904,0.5873,0.588,67784
2023-11-22T14:15:00+00:00,0.5883,0.5888,0.5858,0.588,34805
2023-11-22T14:20:00+00:00,0.5879,0.588,0.5822,0.5838,105807
2023-11-22T14:25:00+00:00,0.5833,0.5839,0.5801,0.5823,79054
2023-11-22T14:30:00+00:00,0.5823,0.5833,0.5801,0.5815,45331
2023-11-22T14:35:00+00:00,0.5815,0.5823,0.5804,0.5819,40247
2023-11-22T14:40:00+00:00,0.5819,0.5837,0.5819,0.5835,24577
2023-11-22T14:45:00+00:00,0.5835,0.5836,0.5793,0.5798,117864
2023-11-22T14:50:00+00:00,0.5798,0.5798,0.572,0.5726,119357
2023-11-22T14:55:00+00:00,0.5729,0.5754,0.5727,0.5741,31867
2023-11-22T15:00:00+00:00,0.5741,0.5765,0.5732,0.574,35096
2023-11-22T15:05:00+00:00,0.574,0.574,0.563,0.564,124937
2023-11-22T15:10:00+00:00,0.5641,0.5643,0.5576,0.5586,176135
2023-11-22T15:15:00+00:00,0.5586,0.5635,0.5582,0.5618,45061
2023-11-22T15:20:00+00:00,0.5623,0.567,0.5602,0.5625,51561
2023-11-22T15:25:00+00:00,0.5624,0.5625,0.562,0.5623,44025
2023-11-22T15:30:00+00:00,0.5624,0.5683,0.5622,0.5671,43278
2023-11-22T15:35:00+00:00,0.568,0.572,0.5665,0.5708,41136
2023-11-22T15:45:00+00:00,0.571,0.571,0.571,0.571,27204
2023-11-23T06:55:00+00:00,0.5724,0.5724,0.5724,0.5724,4456
2023-11-23T07:00:00+00:00,0.5725,0.5815,0.5523,0.5551,104667
2023-11-23T07:05:00+00:00,0.5552,0.5558,0.5501,0.5558,73447
2023-11-23T07:10:00+00:00,0.5558,0.557,0.5535,0.5559,32595
2023-11-23T07:15:00+00:00,0.5557,0.5588,0.5545,0.5558,32346
2023-11-23T07:20:00+00:00,0.5562,0.557,0.5527,0.5532,29330
2023-11-23T07:25:00+00:00,0.5532,0.5597,0.5527,0.5577,37889
2023-11-23T07:30:00+00:00,0.5579,0.5593,0.5575,0.559,11497
2023-11-23T07:35:00+00:00,0.559,0.5725,0.559,0.5687,34871
2023-11-23T07:40:00+00:00,0.5693,0.579,0.5599,0.5724,54971
2023-11-23T07:45:00+00:00,0.5724,0.5784,0.5706,0.5755,28031
2023-11-23T07:50:00+00:00,0.5752,0.5784,0.574,0.5759,22515
2023-11-23T07:55:00+00:00,0.576,0.576,0.57,0.5721,14005
2023-11-23T08:00:00+00:00,0.572,0.5735,0.57,0.57,13946
2023-11-23T08:05:00+00:00,0.5701,0.5722,0.569,0.5701,38310
2023-11-23T08:10:00+00:00,0.5701,0.5717,0.57,0.5708,13420
2023-11-23T08:15:00+00:00,0.5705,0.5742,0.5669,0.5742,21535
2023-11-23T08:20:00+00:00,0.5742,0.577,0.5735,0.5763,20733
2023-11-23T08:25:00+00:00,0.5757,0.5782,0.5748,0.5782,16110
2023-11-23T08:30:00+00:00,0.5782,0.581,0.577,0.5809,41123
2023-11-23T08:35:00+00:00,0.5809,0.5828,0.58,0.5824,90607
2023-11-23T08:40:00+00:00,0.5827,0.5828,0.58,0.5805,33347
2023-11-23T08:45:00+00:00,0.5805,0.585,0.5805,0.585,21217
