time,open,high,low,close,volume
2023-01-03T07:00:00+00:00,29.0,29.0,28.3,28.75,18
2023-01-03T07:05:00+00:00,28.7,28.8,28.65,28.8,52
2023-01-03T07:10:00+00:00,28.8,28.8,28.8,28.8,1
2023-01-03T07:15:00+00:00,28.8,28.85,28.8,28.85,8
2023-01-03T07:20:00+00:00,28.85,28.9,28.85,28.9,9
2023-01-03T07:25:00+00:00,28.9,29.0,28.9,29.0,30
2023-01-03T07:45:00+00:00,29.0,29.0,29.0,29.0,2
2023-01-03T08:00:00+00:00,29.0,29.0,29.0,29.0,229
2023-01-03T08:05:00+00:00,29.05,29.05,29.05,29.05,10
2023-01-03T08:15:00+00:00,28.95,28.95,28.9,28.95,12
2023-01-03T08:25:00+00:00,29.0,29.0,29.0,29.0,3
2023-01-03T08:30:00+00:00,28.95,28.95,28.9,28.9,27
2023-01-03T09:15:00+00:00,28.9,28.9,28.9,28.9,5
2023-01-03T09:20:00+00:00,28.9,29.05,28.9,28.95,11
2023-01-03T09:30:00+00:00,29.1,29.15,29.1,29.15,127
2023-01-03T09:35:00+00:00,29.15,29.25,29.15,29.25,21
2023-01-03T09:45:00+00:00,29.4,30.1,29.4,30.1,390
2023-01-03T09:50:00+00:00,30.1,30.25,29.9,30.25,2397
2023-01-03T09:55:00+00:00,30.25,32.3,30.25,31.6,6045
2023-01-03T10:00:00+00:00,31.45,31.55,30.65,31.15,3551
2023-01-03T10:05:00+00:00,31.0,31.15,30.55,30.75,824
2023-01-03T10:10:00+00:00,30.75,30.75,30.45,30.55,768
2023-01-03T10:15:00+00:00,30.55,30.85,30.45,30.85,876
2023-01-03T10:20:00+00:00,30.9,31.15,30.85,31.0,3578
2023-01-03T10:25:00+00:00,31.0,31.0,30.6,30.6,473
2023-01-03T10:30:00+00:00,30.6,30.6,30.05,30.25,2070
2023-01-03T10:35:00+00:00,30.35,30.35,29.75,30.0,1182
2023-01-03T10:40:00+00:00,30.0,30.5,30.0,30.4,880
2023-01-03T10:45:00+00:00,30.1,30.1,29.95,30.0,151
2023-01-03T10:50:00+00:00,30.0,30.25,30.0,30.05,190
2023-01-03T10:55:00+00:00,30.05,30.15,30.0,30.15,256
2023-01-03T11:00:00+00:00,30.2,30.2,30.05,30.15,43
2023-01-03T11:05:00+00:00,30.1,30.15,30.0,30.1,1073
2023-01-03T11:10:00+00:00,30.0,30.0,30.0,30.0,528
2023-01-03T11:15:00+00:00,30.0,30.0,30.0,30.0,182
2023-01-03T11:20:00+00:00,30.05,30.1,30.0,30.0,91
2023-01-03T11:25:00+00:00,30.0,30.0,30.0,30.0,2
2023-01-03T11:30:00+00:00,30.0,30.0,30.0,30.0,19
2023-01-03T11:35:00+00:00,30.0,30.0,30.0,30.0,20
2023-01-03T11:40:00+00:00,30.0,30.0,30.0,30.0,25
2023-01-03T11:45:00+00:00,30.0,30.0,29.5,29.55,896
2023-01-03T11:50:00+00:00,29.6,29.85,29.55,29.75,28
2023-01-03T11:55:00+00:00,29.75,29.75,29.75,29.75,11
2023-01-03T12:00:00+00:00,29.75,29.75,29.75,29.75,13
